的,dyiex,5/|.的..
央,yuvang,1|~.央鸯..鴦眏
户,hhvus,4\~.户.扈祜戽.
烈,leyies,4-/.列烈裂..
洋,yhhangz,2\\.洋..
哥,geie,1-|.哥歌搁.圪.
索,souuov,3-|.索..
胡,houuz,2-|.胡壶葫.鹕槲觳醐.縠
款,kouuanv,3-|.款..
靠,kwoaos,4/-.靠.铐犒.
评,phringz,2\~.评..
版,bwuanv,3/|.版..
宝,bhhaov,3\\.宝..
座,zhouos,4\-.座..
释,syhhis,4/\.释.弑.釋鉃鈰飾
景,jiringv,3|~.景..
顾,gowus,4-/.顾..頋
弟,dhyis,4\/.弟递..
登,drheng,1~\.登..
货,hwuuos,4/|.货..貨
互,hovus,4-~.互..
付,fwuus,4/|.付傅阜..
伯,bwuoz,2/|.伯帛..
慢,mhhans,4\\.慢漫..
欧,oowu,1-/.欧殴鸥.瓯.
换,houuans,4-|.换.擐.藧
闻,whienz,2\|.闻.阌.
危,wyrei,1/~.危..鳂
忙,mhhangz,2\\.忙..
核,heiez,2-|.核荷菏.盍翮.鞨麧覈
暗,auvns,4|~.暗岸.黯.
姐,jryiev,3~/.姐..
介,jyhies,4/\.介..
坏,houuais,4-|.坏..
讨,thvaov,3\~.讨..
丽,leiis,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
良,lhriangz,2\~.良..
序,xhous,4\-.序畜..訹
升,syeheng,1/-.生升牲甥.笙.
监,jiiian,1||.坚监..
临,liiinz,2||.临..
亮,lheiangs,4\-.亮..諒
露,lohus,4-\.露..
永,yhvongv,3\~.永..
呼,huvu,1|~.呼.唿.
味,wireis,4|~.味胃喂畏..蝟
野,yirev,3|~.野..虵
架,jryias,4~/.架驾嫁..駕
域,youus,4-|.域芋.蓣.穀鬱驈蕷
沙,shhha,1\\.沙.鲨裟.鯊
掉,deiiaos,4-|.掉..
括,kouuos,4-|.括扩..鞟
舰,jyyians,4//.舰..艦
鱼,ywvuz,2/~.鱼.馀腴狳.魚魣鱮
杂,zwvaz,2/~.杂..雑
误,whvus,4\~.误..
湾,whhan,1\\.湾.剜.
吉,jeiiz,2-|.极吉藉棘.楫蒺蕺.鞊趌
减,jheianv,3\-.减..
编,brrian,1~~.编..編
楚,couhuv,3-|.楚.杵楮.
肯,kieenv,3|-.肯.龈.肻
测,chhes,4\\.测.恻.
败,buvais,4|~.败..贁
屋,wvou,1~-.屋..
跑,puvaov,3|~.跑..
梦,meiengs,4-|.梦..
散,souans,4-|.散..
温,whhen,1\\.温..
困,kuvuns,4|~.困..睏
剑,jyhians,4/\.剑..鑑鍵
渐,jhhians,4\\.渐溅涧..
封,feieng,1-|.封枫.葑.
救,jeiius,4-|.救.柩桕.舊
贵,guvuis,4|~.贵跪.炅刿.貴瞆趹
枪,qeiiang,1-|.枪..
缺,qwoue,1/-.缺..
楼,lououz,2-|.楼.蒌.蔞鞻
县,xirians,4|~.县.岘.県睍縣
尚,suhhangs,4|\.尚..
毫,hhoaoz,2\-.毫豪..
移,yyeiz,2/-.移.迤.簃箷
娘,nryiangz,2~/.娘..
朋,pyrengz,2/~.朋鹏膨..鵬
画,houuas,4-|.画.桦.
班,booan,1--.班斑..
智,zyehis,4/-.制智秩稚.雉.製铚秲锧稙鴙
亦,yheis,4\-.意亦疫毅裔.奕弈翊癔瘗.議詣譯裛謚讛
耳,eeirv,3-|.耳..薾趰
恩,eirn,1|~.恩..
短,dwouanv,3/-.短..
掌,zuhhangv,3|\.掌..
恐,kouongv,3-|.恐..
遗,yiriz,2|~.遗.咦贻眙嶷.遺貤貽
固,guvus,4|~.固.崮.
席,xheiz,2\-.席..襲
松,souong,1-|.松.菘.
秘,myeis,4/-.秘..
谢,xhries,4\~.谢..
鲁,lwvuv,3/~.鲁..
遇,yuvus,4|~.遇吁喻峪.昱蜮.閾
康,khoang,1\-.康..
虑,luoyus,4|-.虑..
幸,xeiings,4-|.幸杏.荇.莕
均,jouun,1-|.均菌..莙
销,xyeiao,1/-.销.箫.箾簫簘
钟,zwohong,1/-.钟.锺.
诗,shrhi,1\~.诗..
藏,couangz,2-|.藏..
赶,gouanv,3-|.赶.橄擀.趕
剧,jvous,4~-.剧.屦.
票,peiiaos,4-|.票..
损,souunv,3-|.损.榫.
忽,hwvu,1/~.忽..
巨,jovus,4-~.巨..
炮,phwaos,4\/.炮..
旧,jiiius,4||.旧..
端,dhouan,1\-.端..
探,touans,4-|.探..
湖,hhhuz,2\\.湖..
录,lvous,4~-.录.逯.盝
叶,yires,4|~.叶曳.晔.
春,coohun,1--.春..
乡,xrriang,1~~.乡.骧缃.鄉纕緗
附,fvuus,4~|.附..
吸,xiri,1|~.吸晰嘻.螅曦蟋蜥唏.睎
予,yvhuv,3~\.予羽..頨
礼,lhriv,3\~.礼..裡禮
港,ghhangv,3\\.港..
雨,youuv,3-|.雨..藇蘌
呀,yuvax,5|~.呀..
板,bouanv,3-|.板.坂.覂
庭,theingz,2\-.庭亭..
妇,fvwus,4~/.妇..
归,guwui,1|/.归..
睛,jiring,1|~.睛晶..
饭,fwvans,4/~.犯饭..
额,ehhz,2\\.额..額
含,hwhanz,2/\.含..
顺,swuhuns,4/|.顺..順
输,sovhu,1-~.输..
摇,youaoz,2-|.摇..蕘
招,zouhao,1-|.招..駋
婚,hvwun,1~/.婚..
脱,twvuo,1/~.脱..脫
补,bhvuv,3\~.补..補
谓,whreis,4\~.谓..
督,duou,1|-.督..
毒,doouz,2--.毒..
油,yhhouz,2\\.游油..
疗,lheiaoz,2\-.疗..
旅,lhoyuv,3\-.旅.膂.
泽,zhhez,2\\.泽..
材,couaiz,2-|.才材裁..
灭,mehies,4-\.灭..
逐,zowhuz,2-/.逐..
莫,mouos,4-|.莫.蓦茉.驀藦
笔,byeiv,3/-.笔.秕.筆
亡,whoangz,2\-.亡..
鲜,xyrian,1/~.鲜..鮮鱻
词,chriz,2\~.词.祠.
圣,srhhengs,4~\.圣..
择,zeiez,2-|.择.赜.
寻,xvounz,2~-.寻..鄩
厂,cowhangv,3-/.厂..
睡,suvhuis,4|~.睡..
博,bouoz,2-|.博勃搏.鹁.茀駮豰
勒,leiei,1-|.勒..
烟,yhwan,1\/.烟..
授,souhous,4-|.授..醻
诺,nhvuos,4\~.诺..
伦,lwuunz,2/|.伦..
岸,auvns,4|~.暗岸.黯.
奥,awuos,4/|.奥傲..
唐,thoangz,2\-.唐..
卖,mouais,4-|.卖..麥賣邁
俄,eyiz,2/|.俄..
炸,zhwhas,4\/.炸..
载,zouais,4-|.再载..酨
洛,lhhuos,4\\.洛.漯泺.
健,jyiians,4/|.件健.僭.
堂,tuhangz,2|\.堂棠..
旁,phoangz,2\-.旁庞..
宫,ghhong,1\\.宫..
喝,hire,1|~.喝呵.嗬.
借,jyiies,4/|.借..
君,jvoun,1~-.君..覠
禁,jeiins,4-|.禁晋靳.荩觐.
阴,yriin,1~|.阴..陰陻
园,yuvuanz,2|~.员园圆.螈.
谋,mhvouz,2\~.谋..
宋,shhongs,4\\.宋..
避,breis,4~-.避壁臂辟.璧弼嬖襞.鸊躄鼊繴
抓,zouhua,1-|.抓..髽
荣,rouongz,2-|.荣融蓉茸.榕.駥
姑,gvwu,1~/.姑..
孙,svuun,1~|.孙..
逃,twhaoz,2/\.逃.鼗.鋾
牙,yovaz,2-~.牙..
束,souhus,4-|.术述树束..豎蒁鶐
跳,tiriaos,4|~.跳眺..
顶,deiingv,3-|.顶.酊.頂艼
玉,yoous,4--.玉..鳿
镇,zyehens,4/-.镇..
雪,xohuev,3-\.雪..
午,wwouv,3/-.午舞.迕牾.
练,lrrians,4~~.练..練
迫,pwuos,4/|.迫魄..
爷,yyhez,2/\.爷..
篇,pyeian,1/-.篇.犏.
肉,ruvous,4|~.肉..
嘴,zuvuiv,3|~.嘴..
馆,gwvuanv,3/~.馆..鳤
遍,bhrians,4\~.遍..
凡,fwvanz,2/~.凡..
础,cowhuv,3-/.础..礎
洞,dhhongs,4\\.洞恫..
卷,jhwuanv,3\/.卷..
坦,touanv,3-|.坦..
牛,nyeiuz,2/-.牛..
宁,nhhings,4\\.宁泞..
纸,zrrhiv,3~~.纸..紙絺
诸,zhvhu,1\~.诸诛..
训,xhvuns,4\~.训讯..
私,syei,1/-.私.锶.
庄,zhohuang,1\-.装庄妆..
祖,zhvuv,3\~.祖诅..
丝,srri,1~~.丝.鸶缌.絲鷥緦
翻,fwhan,1/\.翻番..
暴,buvaos,4|~.暴.趵.
森,seien,1-|.森..
塔,touav,3-|.塔..
默,muvos,4|~.默墨..瞐眜
握,wouos,4-|.握卧斡..臥
戏,xrhis,4~\.戏..
隐,yriinv,3~|.隐..隱
熟,shohuz,2\-.熟孰.塾.
骨,guvuv,3|~.骨蛊.鹘罟.
访,fhvangv,3\~.访..
弱,rvouos,4~-.弱..鶸
蒙,meiengz,2-|.蒙萌檬.瞢甍.
歌,geie,1-|.哥歌搁.圪.
店,dheians,4\-.店.癜.
鬼,gwuuiv,3/|.鬼..
软,rovuanv,3-~.软..
典,dirianv,3|~.典.踮.點
欲,ywhus,4/\.欲愈.鹆.鋊鈺鐍錥
萨,souas,4-|.萨..
伙,hwuuov,3/|.伙..
遭,zouao,1-|.遭..
盘,pwwanz,2//.盘磐..盤
爸,bwhas,4/\.爸..
扩,kouuos,4-|.括扩..鞟
盖,ghwais,4\/.盖..
弄,nooongs,4--.弄..
雄,xeyiongz,2-/.雄..
稳,wyeenv,3/-.稳..穩
忘,whoangs,4\-.望忘妄..
亿,yyiis,4/|.亿.佚仡佾劓.鶃
刺,ceiis,4-|.刺..莿
拥,youong,1-|.拥.墉.
徒,twwuz,2//.徒..
姆,mvwuv,3~/.姆..
杨,youangz,2-|.杨扬..輰
齐,qheiz,2\-.齐旗.麒.齊麡竒
赛,shhais,4\\.赛..
趣,qouus,4-|.去趣..
曲,quvu,1|~.曲蛆.岖蛐黢.
刀,dvwao,1~/.刀..
床,chohuangz,2\-.床..
迎,yyringz,2/~.迎..
冰,bheing,1\-.冰..
虚,xuou,1|-.虚..虛虗
玩,wooanz,2--.玩顽..
析,xeii,1-|.西析昔熙.熹皙醯樨菥.
窗,chhhuang,1\\.窗..
醒,xeiingv,3-|.醒.擤.
妻,qeri,1-~.七妻..郪鶈
透,twoous,4/-.透..
购,guvous,4|~.购..購
替,teeis,4--.替..
塞,shhai,1\\.塞..
努,nvwuv,3~/.努.弩胬.
休,xyiiu,1/|.修休.鸺.鵂
虎,huouv,3|-.虎..虝
扬,youangz,2-|.杨扬..輰
途,twhuz,2/\.途..鍎
侵,qyiin,1/|.侵..
刑,xeeingz,2--.形型刑邢..
绿,lvvyus,4~~.绿..綠繂
兄,xiriong,1|~.兄..
迅,xvouns,4~-.迅.巽.
套,towaos,4-/.套..
贸,mwvaos,4/~.贸..貿鄮
毕,beris,4-~.毕毙毖..
唯,wireiz,2|~.围唯.帷嵬帏.
谷,gwhuv,3/\.谷..
轮,lovunz,2-~.轮..
库,khous,4\-.库..
迹,jheis,4\-.迹剂..計記訐
尤,yowouz,2-/.尤..
竞,jheings,4\-.竟竞净靖痉..競竸
街,jyyie,1//.街..
促,cwuus,4/|.促..
延,ywuanz,2/|.延..
震,zehhens,4-\.震..
弃,qheis,4\-.弃..
甲,jiriav,3|~.甲.岬.
伟,wyieiv,3/|.伟伪..
麻,mhoaz,2\-.麻..
川,cwuhuan,1/|.川..
申,sirhen,1|~.申呻..
缓,hvvuanv,3~~.缓..緩
潜,qhhianz,2\\.潜..
闪,shuhanv,3\|.闪..
售,swuhous,4/|.售..
灯,dhyeng,1\/.灯..
针,zyehen,1/-.针.箴.
哲,zeihez,2-|.哲折蛰.摺.謺輒
络,lvvuos,4~~.络骆..絡
抵,deiiv,3-|.抵.柢.菧聜軧
朱,zwohu,1/-.朱.铢邾.鼄秼
埃,aoui,1-|.埃挨..
抱,bouaos,4-|.报抱..菢
鼓,gouuv,3-|.古鼓贾.嘏瞽.盬糓
植,zeihiz,2-|.直职执植.摭絷埴.職
纯,cvvhunz,2~~.纯..純
夏,xeyias,4-/.夏..
忍,rryenv,3~/.忍..
页,yeyes,4-/.页.靥.頁
杰,jeiiez,2-|.节杰截捷劫桔.颉拮.蓵
筑,zwohus,4/-.筑铸.箸.築
折,zeihez,2-|.哲折蛰.摺.謺輒
郑,zhyhengs,4\/.郑..
贝,bireis,4|~.贝..貝骳
尊,zhwun,1\/.尊遵..鷷
吴,wuvuz,2|~.吴.蜈.
秀,xyeius,4/-.秀锈..
混,hhhuns,4\\.混.溷.
臣,ceihenz,2-|.臣..蔯茞
雅,yovav,3-~.雅..
振,zeihens,4-|.振.圳.
染,rhhanv,3\\.染..
盛,ceyhengz,2-/.成盛..郕碀
怒,nvwus,4~/.怒..
舞,wwouv,3/-.午舞.迕牾.
圆,yuvuanz,2|~.员园圆.螈.
搞,gouaov,3-|.搞.槁藁.菒藳
狂,kwvuangz,2/~.狂..鵟
措,couuos,4-|.措挫..
姓,xryings,4~/.姓..
残,cowanz,2-/.残..
秋,qyeiu,1/-.秋..鹙穐龝
培,peieiz,2-|.培..
迷,mhyiz,2\/.迷..麊
诚,chrhengz,2\~.诚.裎.
宽,khhuan,1\\.宽..
宇,yhhuv,3\\.宇.窳.
猛,myrengv,3/~.猛..
摆,bouaiv,3-|.摆柏.捭.
梅,meieiz,2-|.梅枚酶.楣莓.蘪
毁,hwuuiv,3/|.毁..
伸,syihen,1/|.身伸..
摩,mhooz,2\-.摩魔磨..謨
盟,mirengz,2|~.盟.虻.鄳矒
末,mooos,4--.末.耱.
乃,nvwaiv,3~/.乃奶..
悲,bieei,1|-.悲..
拍,pouai,1-|.拍..
丁,deiing,1-|.丁.耵.
赵,zouhaos,4-|.赵.棹.趙
硬,yeyings,4-/.硬..
麦,mooais,4--.麦..
蒋,jeiiangv,3-|.蒋..蔣
操,couao,1-|.操..
耶,yeiez,2-|.耶.揶.
阻,zvuuv,3~|.阻..
订,dhrings,4\~.订..
彩,cwhaiv,3/\.采彩..
抽,couhou,1-|.抽..
赞,zwoans,4/-.赞..酂酇贊
魔,mhooz,2\-.摩魔磨..謨
纷,frren,1~~.纷..紛
沿,yhhanz,2\\.沿..
喊,huvanv,3|~.喊..
违,weeeiz,2--.违韦..
妹,mryeis,4~/.妹媚..
浪,lhhangs,4\\.浪..
汇,hhhuis,4\\.汇.浍.
币,byiis,4/|.币..
丰,feeeng,1--.丰..
蓝,louanz,2-|.蓝拦栏婪..蘭葻藍
殊,sowhu,1-/.殊..
献,xeiians,4-|.献.苋.軐
桌,zuohuo,1|-.桌..
啦,luvax,5|~.啦..
瓦,wovav,3-~.瓦..
莱,louaiz,2-|.莱..萊鶆
援,youuanz,2-|.援袁垣.芫塬橼.薗
译,yhris,4\~.议译谊诣..袣褹
夺,dowuoz,2-/.夺..
汽,qhhis,4\\.汽泣.汔.
烧,shwhao,1\/.烧..
距,juvus,4|~.具距踞.瞿.
裁,couaiz,2-|.才材裁..
偏,pyiian,1/|.偏..
符,fwouz,2/-.符氟..
勇,yvhongv,3~\.勇恿.甬.
触,cwvhus,4/~.处触..觸臅
课,khres,4\~.课..袔
敬,jeiings,4-|.境敬..
哭,kuvu,1|~.哭.骷.跍
懂,dhhongv,3\\.懂..
墙,qeiiangz,2-|.墙蔷.樯.薔
袭,xeyiz,2-/.袭..
召,zvwhaos,4~/.召..
罚,fuvaz,2|~.罚..罰
侠,xyiiaz,2/|.侠..
厅,teying,1-/.厅..
拜,bwoais,4/-.拜稗..
巧,qeiiaov,3-|.巧..
侧,cyies,4/|.侧..
韩,houanz,2-|.韩邯..韓
冒,muvaos,4|~.冒帽..
债,zwuhais,4/|.债..
曼,muvans,4|~.曼.幔.
融,rouongz,2-|.荣融蓉茸.榕.駥
惯,ghhuans,4\\.惯灌.涫.
享,xheiangv,3\-.享..
戴,douais,4-|.带戴.埭.
童,thoongz,2\-.童..
犹,ywvouz,2/~.犹.鱿.鲉鮋
乘,cyehengz,2/-.程乘.铖.
挂,gouuas,4-|.挂.卦.
奖,jheiangv,3\-.奖桨..講
绍,svvhaos,4~~.绍..紹
厚,howous,4-/.厚..
纵,zvvongs,4~~.纵..縱
障,zvuhangs,4~|.障..
讯,xhvuns,4\~.训讯..
涉,shhhes,4\\.涉慑.滠.
彻,cyyhes,4//.彻..
刊,kooan,1--.刊..
丈,zowhangs,4-/.丈..
爆,bhwaos,4\/.爆..
乌,wwvu,1/~.乌.邬.鰞
役,yyyis,4//.役..
描,meiiaoz,2-|.描苗.鹋.鶓
洗,xhhiv,3\\.洗..
玛,mooav,3--.玛..
患,huvuans,4|~.患唤..瞣
妙,mryiaos,4~/.妙..
镜,jyeings,4/-.镜..
唱,cuvhangs,4|~.唱畅..
烦,fhwanz,2\/.烦.燔.
签,qyeian,1/-.千签迁铅钎..籤箞簽
仙,xyiian,1/|.仙..
彼,byyiv,3//.彼.舭.
弗,fvouz,2~-.弗.艴.
症,zhehengs,4\-.症..證証
仿,fwuangv,3/|.仿..
倾,qyiing,1/|.倾..
牌,pwuaiz,2/|.牌.俳.
陷,xriians,4~|.限陷..
鸟,nyriaov,3/~.鸟.袅.
轰,hovong,1-~.轰..
咱,zuvanz,2|~.咱..
菜,couais,4-|.菜蔡..
闭,bhiis,4\|.闭..
奋,feyens,4-/.奋..
庆,qheings,4\-.庆..
撤,ceihes,4-|.撤.坼.
泪,lhheis,4\\.泪..
茶,couhaz,2-|.查茶茬搽.楂槎檫.
疾,jheiz,2\-.疾脊.瘠.鹡鶺
缘,yvvuanz,2~~.缘..緣縁
播,bouo,1-|.播拨菠..
朗,lhvangv,3\~.朗..
杜,douus,4-|.杜.蠹芏.
奶,nvwaiv,3~/.乃奶..
季,jyeis,4/-.季.稷.穊穄
丹,dwvan,1/~.丹..
狗,gwvouv,3/~.狗..
尾,wreeiv,3~-.尾..
仪,yyiiz,2/|.仪..
偷,twuou,1/|.偷..
奔,beyen,1-/.奔..
珠,zoohu,1--.珠..
虫,cuvhongz,2|~.虫崇..蟲
驻,zvvhus,4~~.驻..纻紵
孔,kvuongv,3~|.孔..
宜,yhhiz,2\\.宜沂.怡.
艾,aouis,4-|.艾..鴱薆
桥,qeiiaoz,2-|.桥.樵荞鞒.菬藮
淡,dhhans,4\\.淡惮.澹.
翼,yrhis,4~\.翼翌.羿.
恨,hhhens,4\\.恨..
繁,fwoanz,2/-.繁钒..緐笲
寒,hhhanz,2\\.寒涵..
伴,bwuans,4/|.伴..
叹,tuvans,4|~.叹炭..
旦,duvans,4|~.旦.啖.贉
愈,ywhus,4/\.欲愈.鹆.鋊鈺鐍錥
潮,chhhaoz,2\\.潮..
粮,lhyiangz,2\/.粮..糧
缩,svvuo,1~~.缩..縮
罢,buvas,4|~.罢..罷跁
聚,jouus,4-|.据聚拒.苣醵.
径,jyyings,4//.径..
恰,qhhias,4\\.恰洽..
挑,teiiao,1-|.挑..
袋,dwuais,4/|.代袋贷.黛岱.貸
灰,howui,1-/.灰.虺.豗
捕,bouuv,3-|.捕..
徐,xwwuz,2//.徐..
珍,zeehen,1--.珍..
幕,mouus,4-|.木幕墓慕募暮.苜.
映,yirings,4|~.映..
裂,leyies,4-/.列烈裂..
泰,tooais,4--.泰..
隔,griez,2~|.隔..
启,qhriv,3\~.启.綮.
尖,jiyian,1|/.尖..
忠,zuvhong,1|~.中忠盅..蹱
累,lireis,4|~.累..纍
炎,yhwanz,2\/.炎..
暂,zovans,4-~.暂.錾.
估,gwuu,1/|.估..
泛,fhhans,4\\.泛..盕
荒,houuang,1-|.荒..
偿,cwuhangz,2/|.偿..
横,heiengz,2-|.横.桁蘅.
拒,jouus,4-|.据聚拒.苣醵.
瑞,roouis,4--.瑞..
忆,yhhis,4\\.忆溢.悒怿.
孤,gvuu,1~|.孤..
鼻,byiiz,2/|.鼻..
闹,nhuaos,4\|.闹..
羊,yhwangz,2\/.羊.炀烊.鴹
呆,duvai,1|~.呆..
厉,leyis,4-/.历厉励砾.砺.磿
衡,hyyengz,2//.衡..鸻鴴
胞,bwvao,1/~.包胞..
零,lehingz,2-\.零.酃.靈霝
穷,qhhiongz,2\\.穷.穹.窮
舍,syhhes,4/\.舍.歙.
码,mowav,3-/.码..碼
赫,heies,4-|.赫..
婆,phhoz,2\\.婆..
魂,hoounz,2--.魂..
灾,zhhai,1\\.灾..
洪,hhhongz,2\\.洪宏鸿.泓黉.鴻
腿,twvuiv,3/~.腿..脮
胆,dwvanv,3/~.胆..膽
津,jhhin,1\\.津..
俗,swuuz,2/|.俗..
辩,bheians,4\-.变辩辨辫卞..變辯
胸,xyriong,1/~.胸匈..
晓,xiriaov,3|~.晓..
劲,jrhins,4~\.劲..
贫,pyhinz,2/\.贫..貧
仁,ryienz,2/|.仁..鵀
偶,owuuv,3/|.偶..
辑,jeriz,2-~.辑..
邦,booang,1--.帮邦..邫
恢,hhhui,1\\.恢..
赖,louais,4-|.赖..賴賚鵣
圈,quvuan,1|~.圈..
摸,mouo,1-|.摸..
仰,ywuangv,3/|.仰..
润,rhhuns,4\\.润..
堆,douui,1-|.堆..
碰,peyengs,4-/.碰..
艇,tyyingv,3//.艇..
稍,swohao,1/-.稍.筲.
迟,crehiz,2~-.迟弛..遲
辆,leriangs,4-~.辆..
废,fheeis,4\-.废.痱.
净,jheings,4\-.竟竞净靖痉..競竸
凶,xyhiong,1/\.凶..
署,suvhuv,3|~.署蜀暑曙..
壁,breis,4~-.避壁臂辟.璧弼嬖襞.鸊躄鼊繴
御,ywwus,4//.御..禦衘
奉,feeengs,4--.奉..
旋,xhouanz,2\-.旋玄.痃.
冬,dwvong,1/~.冬..
矿,kowuangs,4-/.矿..礦
抬,touaiz,2-|.抬.薹.臺菭
蛋,dvuans,4~|.蛋..
晨,cirhenz,2|~.晨..
伏,fwuuz,2/|.伏俘..
吹,cuvhui,1|~.吹..
鸡,jrhi,1~\.鸡..
倍,byieis,4/|.倍..
糊,hhwuz,2\/.糊.煳.
秦,qeeinz,2--.秦琴..
盾,dwwuns,4//.盾遁..
杯,beiei,1-|.杯..藣
租,zwou,1/-.租..
骑,qrriz,2~~.骑.骐.纃
乏,fwhaz,2/\.乏..
隆,lvuongz,2~|.隆..
诊,zhrhenv,3\~.诊..袗
奴,nvwuz,2~/.奴.驽孥.砮
摄,seihes,4-|.摄赦..蔎騇
丧,souangs,4-|.丧..
污,whhu,1\\.污..
渡,dhhus,4\\.渡..
旗,qheiz,2\-.齐旗.麒.齊麡竒
甘,gouan,1-|.甘杆柑.苷酐坩.
耐,nowais,4-/.耐奈..
凭,pyiingz,2/|.凭..
扎,zouha,1-|.扎.揸.
抢,qeiiangv,3-|.抢..
绪,xvvus,4~~.续绪..續緒
粗,chwu,1\/.粗..
肩,jhrian,1\~.肩..鵳
梁,lhhiangz,2\\.梁粱..
幻,hvvuans,4~~.幻..
菲,feieiv,3-|.菲匪.榧.蕜
皆,jerie,1-~.皆..
碎,sowuis,4-/.碎..
宙,zhhhous,4\\.宙..
叔,suohu,1|-.叔..
岩,yuvanz,2|~.岩蜒..閻
荡,douangs,4-|.荡档.菪.趤
综,zvvong,1~~.综..綜緵骔
爬,pwwaz,2//.爬..
荷,heiez,2-|.核荷菏.盍翮.鞨麧覈
悉,xyhi,1/\.希悉.兮奚翕欷.錫豀鏭鑴翖
蒂,deiis,4-|.地蒂.棣.菂
返,fwwanv,3//.反返..
井,jeeingv,3--.井..
壮,zhohuangs,4\-.状壮..
薄,bouaoz,2-|.薄..
悄,qhhiao,1\\.悄..
扫,souaov,3-|.扫..
敏,myeinv,3/-.敏.鳘.簢鰵
碍,aowis,4-/.碍.砹.礙
殖,zeyhiz,2-/.殖..
详,xhriangz,2\~.详祥..
迪,diriz,2|~.迪..踧
矛,mvhaoz,2~\.矛.蟊蝥.
霍,hohuos,4-\.霍..靃
允,yvhunv,3~\.允..
幅,fuvuz,2|~.幅.蝠蚨罘蜉幞.
撒,soua,1-|.撒..
剩,syehengs,4/-.剩..
凯,kuvaiv,3|~.凯.剀.
颗,kire,1|~.颗.瞌蝌嗑髁.顆趷
骂,muvas,4|~.骂.唛.罵駡
赏,suhhangv,3|\.赏..賞
液,yhhes,4\\.液..
番,fwhan,1/\.翻番..
箱,xyeiang,1/-.香箱镶..
贴,tirie,1|~.贴帖..貼
漫,mhhans,4\\.慢漫..
酸,souuan,1-|.酸..
郎,lhvangz,2\~.郎..郞
腰,ywvao,1/~.腰..
舒,swhhu,1/\.舒.毹.鵨
眉,mrieiz,2~|.眉.鹛.郿
忧,yhhou,1\\.忧..
浮,fhhuz,2\\.浮涪..
辛,xhein,1\-.新辛.歆.
恋,lheians,4\-.恋..
餐,cuoan,1|-.餐..
吓,xirias,4|~.吓..
挺,teiingv,3-|.挺.梃.
励,leyis,4-/.历厉励砾.砺.磿
辞,cyeiz,2/-.辞..
艘,swwou,1//.艘..
键,jyeians,4/-.键箭.毽.
伍,wwuuv,3/|.伍侮.仵.
峰,fireng,1|~.峰蜂..鄷盽豊
尺,crehiv,3~-.尺..
昨,zuvuoz,2|~.昨..
黎,lyeiz,2/-.黎梨篱犁.黧.鋫邌鯬筣籬
辈,bieeis,4|-.背辈.邶.輩
贯,gvvuans,4~~.贯..貫
侦,zyihen,1/|.侦..
滑,hhhuaz,2\\.滑豁..
券,qhwuans,4\/.券..
崇,cuvhongz,2|~.虫崇..蟲
扰,rouaov,3-|.扰..遶
宪,xhhians,4\\.宪..
绕,rvvaos,4~~.绕..繞
趋,qouu,1-|.趋.麴.趨驅麯
慈,chyiz,2\/.慈.鹚糍.
乔,qyeiaoz,2/-.乔..
阅,yhuues,4\|.阅..
汗,hhhans,4\\.汉汗憾悍.瀚.
枝,zeihi,1-|.支枝芝.栀.鳷
拖,touuo,1-|.托拖..
墨,muvos,4|~.默墨..瞐眜
胁,xyriez,2/~.胁..
插,couha,1-|.插.杈.
箭,jyeians,4/-.键箭.毽.
腊,lwvas,4/~.腊..鱲臘臈
粉,fhyenv,3\/.粉..
泥,nhhiz,2\\.泥.怩.
氏,syrhis,4/~.氏饰..
彭,peiengz,2-|.彭蓬棚.堋.芃髼鬅
拔,bouaz,2-|.拔.菝茇.軷
骗,prrians,4~~.骗..
凤,fyrengs,4/~.凤..鳳
慧,hoouis,4--.慧.彗.
媒,mryeiz,2~/.媒..
佩,pyieis,4/|.佩..
愤,fhhens,4\\.愤..
扑,pouu,1-|.扑..
龄,lieingz,2|-.龄..齡齢
驱,qvvu,1~~.驱..
惜,xhhi,1\\.惜溪汐.淅浠穸.窸鸂
豪,hhoaoz,2\-.毫豪..
掩,youanv,3-|.掩.郾.菴酀鶠
兼,jhyian,1\/.兼煎.鹣.
跃,yuvues,4|~.跃..閱躍躒
尸,srehi,1~-.尸..蝨
肃,svous,4~-.肃..肅鷫粛
帕,puvas,4|~.帕..
驶,srrhiv,3~~.驶..
堡,bwuaov,3/|.保堡..賲
届,jreies,4~-.届..
欣,xyyin,1//.欣..
惠,houuis,4-|.惠卉.恚荟蕙.
册,cyres,4/~.册..
储,cwuhuv,3/|.储..
飘,peiiao,1-|.飘.剽.
桑,svhang,1~\.桑..
闲,xhiianz,2\|.闲.鹇.
惨,chhanv,3\\.惨..
洁,jhhiez,2\\.洁..
踪,zuvong,1|~.踪..蹤踨
勃,bouoz,2-|.博勃搏.鹁.茀駮豰
宾,bhhin,1\\.宾滨濒..賓
频,pieinz,2|-.频.颦.頻
仇,cwuhouz,2/|.仇.俦雠.雔
磨,mhooz,2\-.摩魔磨..謨
递,dhyis,4\/.弟递..
邪,xeriez,2-~.邪..
撞,zouhuangs,4-|.撞..
拟,neiiv,3-|.拟..薿
滚,ghhunv,3\\.滚..
奏,zooous,4--.奏..
巡,xvvunz,2~~.巡驯..紃
颜,yhoanz,2\-.言颜..顏麣訮
