的,dehhr,5/|.的..
介,jiehw,4/\.介..
坏,huaihf,4-|.坏..
讨,taaop,3\~.讨..
丽,lihf,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
良,lliangp,2\~.良..
序,xuhy,4\-.序畜..訹
升,shengt,1/-.生升牲甥.笙.
监,jianj,1||.坚监..
临,llinj,2||.临..
亮,liahngy,4\-.亮..諒
露,luhs,4-\.露..
永,yoongp,3\~.永..
呼,hum,1|~.呼.唿.
味,weihm,4|~.味胃喂畏..蝟
野,yeem,3|~.野..虵
架,jiahv,4~/.架驾嫁..駕
域,yuhf,4-|.域芋.蓣.穀鬱驈蕷
沙,shao,1\\.沙.鲨裟.鯊
掉,diaohf,4-|.掉..
括,kuohf,4-|.括扩..鞟
舰,jiahne,4//.舰..艦
鱼,yyuq,2/~.鱼.馀腴狳.魚魣鱮
杂,zzaq,2/~.杂..雑
误,wuhp,4\~.误..
湾,wano,1\\.湾.剜.
吉,jjif,2-|.极吉藉棘.楫蒺蕺.鞊趌
减,jiaany,3\-.减..
编,bianx,1~~.编..編
楚,chuuf,3-|.楚.杵楮.
肯,keenh,3|-.肯.龈.肻
测,ceho,4\\.测.恻.
败,baihm,4|~.败..贁
屋,wun,1~-.屋..
跑,paaom,3|~.跑..
梦,mehngf,4-|.梦..
散,sahnf,4-|.散..
温,weno,1\\.温..
困,kuhnm,4|~.困..睏
剑,jiahnw,4/\.剑..鑑鍵
渐,jiahno,4\\.渐溅涧..
封,fengf,1-|.封枫.葑.
救,jiuhf,4-|.救.柩桕.舊
贵,guihm,4|~.贵跪.炅刿.貴瞆趹
枪,qiangf,1-|.枪..
缺,quet,1/-.缺..
楼,llouf,2-|.楼.蒌.蔞鞻
县,xiahnm,4|~.县.岘.県睍縣
尚,shahngl,4|\.尚..
毫,hhaoy,2\-.毫豪..
移,yyit,2/-.移.迤.簃箷
娘,nniangv,2~/.娘..
朋,ppengq,2/~.朋鹏膨..鵬
画,huahf,4-|.画.桦.
班,bang,1--.班斑..
智,zhiht,4/-.制智秩稚.雉.製铚秲锧稙鴙
亦,yihy,4\-.意亦疫毅裔.奕弈翊癔瘗.議詣譯裛謚讛
耳,eerf,3-|.耳..薾趰
恩,enm,1|~.恩..
短,duaant,3/-.短..
掌,zhaangl,3|\.掌..
恐,koongf,3-|.恐..
遗,yyim,2|~.遗.咦贻眙嶷.遺貤貽
固,guhm,4|~.固.崮.
席,xxiy,2\-.席..襲
松,songf,1-|.松.菘.
秘,miht,4/-.秘..
谢,xiehp,4\~.谢..
鲁,luuq,3/~.鲁..
遇,yuhm,4|~.遇吁喻峪.昱蜮.閾
康,kangy,1\-.康..
虑,lyuhh,4|-.虑..
幸,xihngf,4-|.幸杏.荇.莕
均,junf,1-|.均菌..莙
销,xiaot,1/-.销.箫.箾簫簘
钟,zhongt,1/-.钟.锺.
诗,ship,1\~.诗..
藏,ccangf,2-|.藏..
赶,gaanf,3-|.赶.橄擀.趕
剧,juhn,4~-.剧.屦.
票,piaohf,4-|.票..
损,suunf,3-|.损.榫.
忽,huq,1/~.忽..
巨,juha,4-~.巨..
炮,paohi,4\/.炮..
旧,jiuhj,4||.旧..
端,duany,1\-.端..
探,tahnf,4-|.探..
湖,hhuo,2\\.湖..
录,luhn,4~-.录.逯.盝
叶,yehm,4|~.叶曳.晔.
春,chung,1--.春..
乡,xiangx,1~~.乡.骧缃.鄉纕緗
附,fuhb,4~|.附..
吸,xim,1|~.吸晰嘻.螅曦蟋蜥唏.睎
予,yuuc,3~\.予羽..頨
礼,liip,3\~.礼..裡禮
港,gaango,3\\.港..
雨,yuuf,3-|.雨..藇蘌
呀,yahhm,5|~.呀..
板,baanf,3-|.板.坂.覂
庭,ttingy,2\-.庭亭..
妇,fuhv,4~/.妇..
归,guik,1|/.归..
睛,jingm,1|~.睛晶..
饭,fahnq,4/~.犯饭..
额,vveo,2\\.额..額
含,hhanw,2/\.含..
顺,shuhnr,4/|.顺..順
输,shua,1-~.输..
摇,yyaof,2-|.摇..蕘
招,zhaof,1-|.招..駋
婚,hunv,1~/.婚..
脱,tuoq,1/~.脱..脫
补,buup,3\~.补..補
谓,weihp,4\~.谓..
督,duh,1|-.督..
毒,ddug,2--.毒..
油,yyouo,2\\.游油..
疗,lliaoy,2\-.疗..
旅,lyuuy,3\-.旅.膂.
泽,zzeo,2\\.泽..
材,ccaif,2-|.才材裁..
灭,miehs,4-\.灭..
逐,zzhud,2-/.逐..
莫,mohf,4-|.莫.蓦茉.驀藦
笔,biit,3/-.笔.秕.筆
亡,wwangy,2\-.亡..
鲜,xianq,1/~.鲜..鮮鱻
词,ccip,2\~.词.祠.
圣,shehngc,4~\.圣..
择,zzef,2-|.择.赜.
寻,xxunn,2~-.寻..鄩
厂,chaangd,3-/.厂..
睡,shuihm,4|~.睡..
博,bbof,2-|.博勃搏.鹁.茀駮豰
勒,leif,1-|.勒..
烟,yani,1\/.烟..
授,shouhf,4-|.授..醻
诺,nuohp,4\~.诺..
伦,llunr,2/|.伦..
岸,ahnm,4|~.暗岸.黯.
奥,aohr,4/|.奥傲..
唐,ttangy,2\-.唐..
卖,maihf,4-|.卖..麥賣邁
俄,vver,2/|.俄..
炸,zhahi,4\/.炸..
载,zaihf,4-|.再载..酨
洛,luoho,4\\.洛.漯泺.
健,jiahnr,4/|.件健.僭.
堂,ttangl,2|\.堂棠..
旁,ppangy,2\-.旁庞..
宫,gongo,1\\.宫..
喝,hem,1|~.喝呵.嗬.
借,jiehr,4/|.借..
君,junn,1~-.君..覠
禁,jihnf,4-|.禁晋靳.荩觐.
阴,yinb,1~|.阴..陰陻
园,yyuanm,2|~.员园圆.螈.
谋,mmoup,2\~.谋..
宋,sohngo,4\\.宋..
避,bihn,4~-.避壁臂辟.璧弼嬖襞.鸊躄鼊繴
抓,zhuaf,1-|.抓..髽
荣,rrongf,2-|.荣融蓉茸.榕.駥
姑,guv,1~/.姑..
孙,sunb,1~|.孙..
逃,ttaow,2/\.逃.鼗.鋾
牙,yyaa,2-~.牙..
束,shuhf,4-|.术述树束..豎蒁鶐
跳,tiaohm,4|~.跳眺..
顶,diingf,3-|.顶.酊.頂艼
玉,yuhg,4--.玉..鳿
镇,zhehnt,4/-.镇..
雪,xuees,3-\.雪..
午,wuut,3/-.午舞.迕牾.
练,liahnx,4~~.练..練
迫,pohr,4/|.迫魄..
爷,yyew,2/\.爷..
篇,piant,1/-.篇.犏.
肉,rouhm,4|~.肉..
嘴,zuiim,3|~.嘴..
馆,guaanq,3/~.馆..鳤
遍,biahnp,4\~.遍..
凡,ffanq,2/~.凡..
础,chuud,3-/.础..礎
洞,dohngo,4\\.洞恫..
卷,juaani,3\/.卷..
坦,taanf,3-|.坦..
牛,nniut,2/-.牛..
宁,nihngo,4\\.宁泞..
纸,zhiix,3~~.纸..紙絺
诸,zhup,1\~.诸诛..
训,xuhnp,4\~.训讯..
私,sit,1/-.私.锶.
庄,zhuangy,1\-.装庄妆..
祖,zuup,3\~.祖诅..
丝,six,1~~.丝.鸶缌.絲鷥緦
翻,fanw,1/\.翻番..
暴,baohm,4|~.暴.趵.
森,senf,1-|.森..
塔,taaf,3-|.塔..
默,mohm,4|~.默墨..瞐眜
握,wohf,4-|.握卧斡..臥
戏,xihc,4~\.戏..
隐,yiinb,3~|.隐..隱
熟,sshuy,2\-.熟孰.塾.
骨,guum,3|~.骨蛊.鹘罟.
访,faangp,3\~.访..
弱,ruohn,4~-.弱..鶸
蒙,mmengf,2-|.蒙萌檬.瞢甍.
歌,gef,1-|.哥歌搁.圪.
店,diahny,4\-.店.癜.
鬼,guiir,3/|.鬼..
软,ruaana,3-~.软..
典,diaanm,3|~.典.踮.點
欲,yuhw,4/\.欲愈.鹆.鋊鈺鐍錥
萨,sahf,4-|.萨..
伙,huoor,3/|.伙..
遭,zaof,1-|.遭..
盘,ppane,2//.盘磐..盤
爸,bahw,4/\.爸..
扩,kuohf,4-|.括扩..鞟
盖,gaihi,4\/.盖..
弄,nohngg,4--.弄..
雄,xxiongd,2-/.雄..
稳,weent,3/-.稳..穩
忘,wahngy,4\-.望忘妄..
亿,yihr,4/|.亿.佚仡佾劓.鶃
刺,cihf,4-|.刺..莿
拥,yongf,1-|.拥.墉.
徒,ttue,2//.徒..
姆,muuv,3~/.姆..
杨,yyangf,2-|.杨扬..輰
齐,qqiy,2\-.齐旗.麒.齊麡竒
赛,saiho,4\\.赛..
趣,quhf,4-|.去趣..
曲,qum,1|~.曲蛆.岖蛐黢.
刀,daov,1~/.刀..
床,cchuangy,2\-.床..
迎,yyingq,2/~.迎..
冰,bingy,1\-.冰..
虚,xuh,1|-.虚..虛虗
玩,wwang,2--.玩顽..
析,xif,1-|.西析昔熙.熹皙醯樨菥.
窗,chuango,1\\.窗..
醒,xiingf,3-|.醒.擤.
妻,qia,1-~.七妻..郪鶈
透,touht,4/-.透..
购,gouhm,4|~.购..購
替,tihg,4--.替..
塞,saio,1\\.塞..
努,nuuv,3~/.努.弩胬.
休,xiur,1/|.修休.鸺.鵂
虎,huuh,3|-.虎..虝
扬,yyangf,2-|.杨扬..輰
途,ttuw,2/\.途..鍎
侵,qinr,1/|.侵..
刑,xxingg,2--.形型刑邢..
绿,lyuhx,4~~.绿..綠繂
兄,xiongm,1|~.兄..
迅,xuhnn,4~-.迅.巽.
套,taohd,4-/.套..
贸,maohq,4/~.贸..貿鄮
毕,biha,4-~.毕毙毖..
唯,wweim,2|~.围唯.帷嵬帏.
谷,guuw,3/\.谷..
轮,lluna,2-~.轮..
库,kuhy,4\-.库..
迹,jihy,4\-.迹剂..計記訐
尤,yyoud,2-/.尤..
竞,jihngy,4\-.竟竞净靖痉..競竸
街,jiee,1//.街..
促,cuhr,4/|.促..
延,yyanr,2/|.延..
震,zhehns,4-\.震..
弃,qihy,4\-.弃..
甲,jiaam,3|~.甲.岬.
伟,weeir,3/|.伟伪..
麻,mmay,2\-.麻..
川,chuanr,1/|.川..
申,shenm,1|~.申呻..
缓,huaanx,3~~.缓..緩
潜,qqiano,2\\.潜..
闪,shaanu,3\|.闪..
售,shouhr,4/|.售..
灯,dengi,1\/.灯..
针,zhent,1/-.针.箴.
哲,zzhef,2-|.哲折蛰.摺.謺輒
络,luohx,4~~.络骆..絡
抵,diif,3-|.抵.柢.菧聜軧
朱,zhut,1/-.朱.铢邾.鼄秼
埃,aif,1-|.埃挨..
抱,baohf,4-|.报抱..菢
鼓,guuf,3-|.古鼓贾.嘏瞽.盬糓
植,zzhif,2-|.直职执植.摭絷埴.職
纯,cchunx,2~~.纯..純
夏,xiahd,4-/.夏..
忍,reenv,3~/.忍..
页,yehd,4-/.页.靥.頁
杰,jjief,2-|.节杰截捷劫桔.颉拮.蓵
筑,zhuht,4/-.筑铸.箸.築
折,zzhef,2-|.哲折蛰.摺.謺輒
郑,zhehngi,4\/.郑..
贝,beihm,4|~.贝..貝骳
尊,zuni,1\/.尊遵..鷷
吴,wwum,2|~.吴.蜈.
秀,xiuht,4/-.秀锈..
混,huhno,4\\.混.溷.
臣,cchenf,2-|.臣..蔯茞
雅,yaaa,3-~.雅..
振,zhehnf,4-|.振.圳.
染,raano,3\\.染..
盛,cchengd,2-/.成盛..郕碀
怒,nuhv,4~/.怒..
舞,wuut,3/-.午舞.迕牾.
圆,yyuanm,2|~.员园圆.螈.
搞,gaaof,3-|.搞.槁藁.菒藳
狂,kkuangq,2/~.狂..鵟
措,cuohf,4-|.措挫..
姓,xihngv,4~/.姓..
残,ccand,2-/.残..
秋,qiut,1/-.秋..鹙穐龝
培,ppeif,2-|.培..
迷,mmii,2\/.迷..麊
诚,cchengp,2\~.诚.裎.
宽,kuano,1\\.宽..
宇,yuuo,3\\.宇.窳.
猛,meengq,3/~.猛..
摆,baaif,3-|.摆柏.捭.
梅,mmeif,2-|.梅枚酶.楣莓.蘪
毁,huiir,3/|.毁..
伸,shenr,1/|.身伸..
摩,mmoy,2\-.摩魔磨..謨
盟,mmengm,2|~.盟.虻.鄳矒
末,mohg,4--.末.耱.
乃,naaiv,3~/.乃奶..
悲,beih,1|-.悲..
拍,paif,1-|.拍..
丁,dingf,1-|.丁.耵.
赵,zhaohf,4-|.赵.棹.趙
硬,yihngd,4-/.硬..
麦,maihg,4--.麦..
蒋,jiaangf,3-|.蒋..蔣
操,caof,1-|.操..
耶,yyef,2-|.耶.揶.
阻,zuub,3~|.阻..
订,dihngp,4\~.订..
彩,caaiw,3/\.采彩..
抽,chouf,1-|.抽..
赞,zahnt,4/-.赞..酂酇贊
魔,mmoy,2\-.摩魔磨..謨
纷,fenx,1~~.纷..紛
沿,yyano,2\\.沿..
喊,haanm,3|~.喊..
违,wweig,2--.违韦..
妹,meihv,4~/.妹媚..
浪,lahngo,4\\.浪..
汇,huiho,4\\.汇.浍.
币,bihr,4/|.币..
丰,fengg,1--.丰..
蓝,llanf,2-|.蓝拦栏婪..蘭葻藍
殊,shud,1-/.殊..
献,xiahnf,4-|.献.苋.軐
桌,zhuoh,1|-.桌..
啦,lahhm,5|~.啦..
瓦,waaa,3-~.瓦..
莱,llaif,2-|.莱..萊鶆
援,yyuanf,2-|.援袁垣.芫塬橼.薗
译,yihp,4\~.议译谊诣..袣褹
夺,dduod,2-/.夺..
汽,qiho,4\\.汽泣.汔.
烧,shaoi,1\/.烧..
距,juhm,4|~.具距踞.瞿.
裁,ccaif,2-|.才材裁..
偏,pianr,1/|.偏..
符,ffut,2/-.符氟..
勇,yoongc,3~\.勇恿.甬.
触,chuhq,4/~.处触..觸臅
课,kehp,4\~.课..袔
敬,jihngf,4-|.境敬..
哭,kum,1|~.哭.骷.跍
懂,doongo,3\\.懂..
墙,qqiangf,2-|.墙蔷.樯.薔
袭,xxid,2-/.袭..
召,zhaohv,4~/.召..
罚,ffam,2|~.罚..罰
侠,xxiar,2/|.侠..
厅,tingd,1-/.厅..
拜,baiht,4/-.拜稗..
巧,qiaaof,3-|.巧..
侧,cehr,4/|.侧..
韩,hhanf,2-|.韩邯..韓
冒,maohm,4|~.冒帽..
债,zhaihr,4/|.债..
曼,mahnm,4|~.曼.幔.
融,rrongf,2-|.荣融蓉茸.榕.駥
惯,guahno,4\\.惯灌.涫.
享,xiaangy,3\-.享..
戴,daihf,4-|.带戴.埭.
童,ttongy,2\-.童..
犹,yyouq,2/~.犹.鱿.鲉鮋
乘,cchengt,2/-.程乘.铖.
挂,guahf,4-|.挂.卦.
奖,jiaangy,3\-.奖桨..講
绍,shaohx,4~~.绍..紹
厚,houhd,4-/.厚..
纵,zohngx,4~~.纵..縱
障,zhahngb,4~|.障..
讯,xuhnp,4\~.训讯..
涉,sheho,4\\.涉慑.滠.
彻,chehe,4//.彻..
刊,kang,1--.刊..
丈,zhahngd,4-/.丈..
爆,baohi,4\/.爆..
乌,wuq,1/~.乌.邬.鰞
役,yihe,4//.役..
描,mmiaof,2-|.描苗.鹋.鶓
洗,xiio,3\\.洗..
玛,maag,3--.玛..
患,huahnm,4|~.患唤..瞣
妙,miaohv,4~/.妙..
镜,jihngt,4/-.镜..
唱,chahngm,4|~.唱畅..
烦,ffani,2\/.烦.燔.
签,qiant,1/-.千签迁铅钎..籤箞簽
仙,xianr,1/|.仙..
彼,biie,3//.彼.舭.
弗,ffun,2~-.弗.艴.
症,zhehngy,4\-.症..證証
仿,faangr,3/|.仿..
倾,qingr,1/|.倾..
牌,ppair,2/|.牌.俳.
陷,xiahnb,4~|.限陷..
鸟,niaaoq,3/~.鸟.袅.
轰,honga,1-~.轰..
咱,zzanm,2|~.咱..
菜,caihf,4-|.菜蔡..
闭,bihu,4\|.闭..
奋,fehnd,4-/.奋..
庆,qihngy,4\-.庆..
撤,chehf,4-|.撤.坼.
泪,leiho,4\\.泪..
茶,cchaf,2-|.查茶茬搽.楂槎檫.
疾,jjiy,2\-.疾脊.瘠.鹡鶺
缘,yyuanx,2~~.缘..緣縁
播,bof,1-|.播拨菠..
朗,laangp,3\~.朗..
杜,duhf,4-|.杜.蠹芏.
奶,naaiv,3~/.乃奶..
季,jiht,4/-.季.稷.穊穄
丹,danq,1/~.丹..
狗,goouq,3/~.狗..
尾,weein,3~-.尾..
仪,yyir,2/|.仪..
偷,tour,1/|.偷..
奔,bend,1-/.奔..
珠,zhug,1--.珠..
虫,cchongm,2|~.虫崇..蟲
驻,zhuhx,4~~.驻..纻紵
孔,koongb,3~|.孔..
宜,yyio,2\\.宜沂.怡.
艾,aihf,4-|.艾..鴱薆
桥,qqiaof,2-|.桥.樵荞鞒.菬藮
淡,dahno,4\\.淡惮.澹.
翼,yihc,4~\.翼翌.羿.
恨,hehno,4\\.恨..
繁,ffant,2/-.繁钒..緐笲
寒,hhano,2\\.寒涵..
伴,bahnr,4/|.伴..
叹,tahnm,4|~.叹炭..
旦,dahnm,4|~.旦.啖.贉
愈,yuhw,4/\.欲愈.鹆.鋊鈺鐍錥
潮,cchaoo,2\\.潮..
粮,lliangi,2\/.粮..糧
缩,suox,1~~.缩..縮
罢,bahm,4|~.罢..罷跁
聚,juhf,4-|.据聚拒.苣醵.
径,jihnge,4//.径..
恰,qiaho,4\\.恰洽..
挑,tiaof,1-|.挑..
袋,daihr,4/|.代袋贷.黛岱.貸
灰,huid,1-/.灰.虺.豗
捕,buuf,3-|.捕..
徐,xxue,2//.徐..
珍,zheng,1--.珍..
幕,muhf,4-|.木幕墓慕募暮.苜.
映,yihngm,4|~.映..
裂,liehd,4-/.列烈裂..
泰,taihg,4--.泰..
隔,ggeb,2~|.隔..
启,qiip,3\~.启.綮.
尖,jiank,1|/.尖..
忠,zhongm,1|~.中忠盅..蹱
累,leihm,4|~.累..纍
炎,yyani,2\/.炎..
暂,zahna,4-~.暂.錾.
估,gur,1/|.估..
泛,fahno,4\\.泛..盕
荒,huangf,1-|.荒..
偿,cchangr,2/|.偿..
横,hhengf,2-|.横.桁蘅.
拒,juhf,4-|.据聚拒.苣醵.
瑞,ruihg,4--.瑞..
忆,yiho,4\\.忆溢.悒怿.
孤,gub,1~|.孤..
鼻,bbir,2/|.鼻..
闹,naohu,4\|.闹..
羊,yyangi,2\/.羊.炀烊.鴹
呆,daim,1|~.呆..
厉,lihd,4-/.历厉励砾.砺.磿
衡,hhenge,2//.衡..鸻鴴
胞,baoq,1/~.包胞..
零,llings,2-\.零.酃.靈霝
穷,qqiongo,2\\.穷.穹.窮
舍,shehw,4/\.舍.歙.
码,maad,3-/.码..碼
赫,hehf,4-|.赫..
婆,ppoo,2\\.婆..
魂,hhung,2--.魂..
灾,zaio,1\\.灾..
洪,hhongo,2\\.洪宏鸿.泓黉.鴻
腿,tuiiq,3/~.腿..脮
胆,daanq,3/~.胆..膽
津,jino,1\\.津..
俗,ssur,2/|.俗..
辩,biahny,4\-.变辩辨辫卞..變辯
胸,xiongq,1/~.胸匈..
晓,xiaaom,3|~.晓..
劲,jihnc,4~\.劲..
贫,ppinw,2/\.贫..貧
仁,rrenr,2/|.仁..鵀
偶,oour,3/|.偶..
辑,jjia,2-~.辑..
邦,bangg,1--.帮邦..邫
恢,huio,1\\.恢..
赖,laihf,4-|.赖..賴賚鵣
圈,quanm,1|~.圈..
摸,mof,1-|.摸..
仰,yaangr,3/|.仰..
润,ruhno,4\\.润..
堆,duif,1-|.堆..
碰,pehngd,4-/.碰..
艇,tiinge,3//.艇..
稍,shaot,1/-.稍.筲.
迟,cchin,2~-.迟弛..遲
辆,liahnga,4-~.辆..
废,feihy,4\-.废.痱.
净,jihngy,4\-.竟竞净靖痉..競竸
凶,xiongw,1/\.凶..
署,shuum,3|~.署蜀暑曙..
壁,bihn,4~-.避壁臂辟.璧弼嬖襞.鸊躄鼊繴
御,yuhe,4//.御..禦衘
奉,fehngg,4--.奉..
旋,xxuany,2\-.旋玄.痃.
冬,dongq,1/~.冬..
矿,kuahngd,4-/.矿..礦
抬,ttaif,2-|.抬.薹.臺菭
蛋,dahnb,4~|.蛋..
晨,cchenm,2|~.晨..
伏,ffur,2/|.伏俘..
吹,chuim,1|~.吹..
鸡,jic,1~\.鸡..
倍,beihr,4/|.倍..
糊,hhui,2\/.糊.煳.
秦,qqing,2--.秦琴..
盾,duhne,4//.盾遁..
杯,beif,1-|.杯..藣
租,zut,1/-.租..
骑,qqix,2~~.骑.骐.纃
乏,ffaw,2/\.乏..
隆,llongb,2~|.隆..
诊,zheenp,3\~.诊..袗
奴,nnuv,2~/.奴.驽孥.砮
摄,shehf,4-|.摄赦..蔎騇
丧,sahngf,4-|.丧..
污,wuo,1\\.污..
渡,duho,4\\.渡..
旗,qqiy,2\-.齐旗.麒.齊麡竒
甘,ganf,1-|.甘杆柑.苷酐坩.
耐,naihd,4-/.耐奈..
凭,ppingr,2/|.凭..
扎,zhaf,1-|.扎.揸.
抢,qiaangf,3-|.抢..
绪,xuhx,4~~.续绪..續緒
粗,cui,1\/.粗..
肩,jianp,1\~.肩..鵳
梁,lliango,2\\.梁粱..
幻,huahnx,4~~.幻..
菲,feeif,3-|.菲匪.榧.蕜
皆,jiea,1-~.皆..
碎,suihd,4-/.碎..
宙,zhouho,4\\.宙..
叔,shuh,1|-.叔..
岩,yyanm,2|~.岩蜒..閻
荡,dahngf,4-|.荡档.菪.趤
综,zongx,1~~.综..綜緵骔
爬,ppae,2//.爬..
荷,hhef,2-|.核荷菏.盍翮.鞨麧覈
悉,xiw,1/\.希悉.兮奚翕欷.錫豀鏭鑴翖
蒂,dihf,4-|.地蒂.棣.菂
返,faane,3//.反返..
井,jiingg,3--.井..
壮,zhuahngy,4\-.状壮..
薄,bbaof,2-|.薄..
悄,qiaoo,1\\.悄..
扫,saaof,3-|.扫..
敏,miint,3/-.敏.鳘.簢鰵
碍,aihd,4-/.碍.砹.礙
殖,zzhid,2-/.殖..
详,xxiangp,2\~.详祥..
迪,ddim,2|~.迪..踧
矛,mmaoc,2~\.矛.蟊蝥.
霍,huohs,4-\.霍..靃
允,yuunc,3~\.允..
幅,ffum,2|~.幅.蝠蚨罘蜉幞.
撒,saf,1-|.撒..
剩,shehngt,4/-.剩..
凯,kaaim,3|~.凯.剀.
颗,kem,1|~.颗.瞌蝌嗑髁.顆趷
骂,mahm,4|~.骂.唛.罵駡
赏,shaangl,3|\.赏..賞
液,yeho,4\\.液..
番,fanw,1/\.翻番..
箱,xiangt,1/-.香箱镶..
贴,tiem,1|~.贴帖..貼
漫,mahno,4\\.慢漫..
酸,suanf,1-|.酸..
郎,llangp,2\~.郎..郞
腰,yaoq,1/~.腰..
舒,shuw,1/\.舒.毹.鵨
眉,mmeib,2~|.眉.鹛.郿
忧,youo,1\\.忧..
浮,ffuo,2\\.浮涪..
辛,xiny,1\-.新辛.歆.
恋,liahny,4\-.恋..
餐,canh,1|-.餐..
吓,xiahm,4|~.吓..
挺,tiingf,3-|.挺.梃.
励,lihd,4-/.历厉励砾.砺.磿
辞,ccit,2/-.辞..
艘,soue,1//.艘..
键,jiahnt,4/-.键箭.毽.
伍,wuur,3/|.伍侮.仵.
峰,fengm,1|~.峰蜂..鄷盽豊
尺,chiin,3~-.尺..
昨,zzuom,2|~.昨..
黎,llit,2/-.黎梨篱犁.黧.鋫邌鯬筣籬
辈,beihh,4|-.背辈.邶.輩
贯,guahnx,4~~.贯..貫
侦,zhenr,1/|.侦..
滑,hhuao,2\\.滑豁..
券,quahni,4\/.券..
崇,cchongm,2|~.虫崇..蟲
扰,raaof,3-|.扰..遶
宪,xiahno,4\\.宪..
绕,raohx,4~~.绕..繞
趋,quf,1-|.趋.麴.趨驅麯
慈,ccii,2\/.慈.鹚糍.
乔,qqiaot,2/-.乔..
阅,yuehu,4\|.阅..
汗,hahno,4\\.汉汗憾悍.瀚.
枝,zhif,1-|.支枝芝.栀.鳷
拖,tuof,1-|.托拖..
墨,mohm,4|~.默墨..瞐眜
胁,xxieq,2/~.胁..
插,chaf,1-|.插.杈.
箭,jiahnt,4/-.键箭.毽.
腊,lahq,4/~.腊..鱲臘臈
粉,feeni,3\/.粉..
泥,nnio,2\\.泥.怩.
氏,shihq,4/~.氏饰..
彭,ppengf,2-|.彭蓬棚.堋.芃髼鬅
拔,bbaf,2-|.拔.菝茇.軷
骗,piahnx,4~~.骗..
凤,fehngq,4/~.凤..鳳
慧,huihg,4--.慧.彗.
媒,mmeiv,2~/.媒..
佩,peihr,4/|.佩..
愤,fehno,4\\.愤..
扑,puf,1-|.扑..
龄,llingh,2|-.龄..齡齢
驱,qux,1~~.驱..
惜,xio,1\\.惜溪汐.淅浠穸.窸鸂
豪,hhaoy,2\-.毫豪..
掩,yaanf,3-|.掩.郾.菴酀鶠
兼,jiani,1\/.兼煎.鹣.
跃,yuehm,4|~.跃..閱躍躒
尸,shin,1~-.尸..蝨
肃,suhn,4~-.肃..肅鷫粛
帕,pahm,4|~.帕..
驶,shiix,3~~.驶..
堡,baaor,3/|.保堡..賲
届,jiehn,4~-.届..
欣,xine,1//.欣..
惠,huihf,4-|.惠卉.恚荟蕙.
册,cehq,4/~.册..
储,chuur,3/|.储..
飘,piaof,1-|.飘.剽.
桑,sangc,1~\.桑..
闲,xxianu,2\|.闲.鹇.
惨,caano,3\\.惨..
洁,jjieo,2\\.洁..
踪,zongm,1|~.踪..蹤踨
勃,bbof,2-|.博勃搏.鹁.茀駮豰
宾,bino,1\\.宾滨濒..賓
频,ppinh,2|-.频.颦.頻
仇,cchour,2/|.仇.俦雠.雔
磨,mmoy,2\-.摩魔磨..謨
递,dihi,4\/.弟递..
邪,xxiea,2-~.邪..
撞,zhuahngf,4-|.撞..
拟,niif,3-|.拟..薿
滚,guuno,3\\.滚..
奏,zouhg,4--.奏..
巡,xxunx,2~~.巡驯..紃
颜,yyany,2\-.言颜..顏麣訮
剂,jihy,4\-.迹剂..計記訐
绩,jihx,4~~.纪继绩.骥.繼紀
贡,gohngf,4-|.共贡..貢
疯,fengy,1\-.疯..
坡,pof,1-|.坡..酦醱
瞧,qqiaom,2|~.瞧..睄
截,jjief,2-|.节杰截捷劫桔.颉拮.蓵
燃,rrani,2\/.燃..
焦,jiaor,1/|.焦.鹪僬.鷦
殿,diahnn,4~-.殿..
伪,weeir,3/|.伟伪..
柳,liuuf,3-|.柳..
锁,suoot,3/-.锁..
逼,bif,1-|.逼..
颇,pov,1~/.颇..頗
昏,hunq,1/~.昏..
劝,quahnc,4~\.劝..
呈,cchengm,2|~.呈..
搜,souf,1-|.搜..蒐蓃
勤,qqinf,2-|.勤擒芹.芩檎.菦
戒,jiehg,4--.戒..
驾,jiahv,4~/.架驾嫁..駕
漂,piaoo,1\\.漂..
饮,yiinq,3/~.饮..
曹,ccaof,2-|.曹槽..蓸
朵,duooq,3/~.朵..
仔,ziir,3/|.仔..
柔,rrouc,2~\.柔..
俩,liaar,3/|.俩..
孟,mehngb,4~|.孟..
腐,fuuy,3\-.府腐..
幼,youhx,4~~.幼..
践,jiahnm,4|~.见践贱.踺.見踐瞷
籍,jjit,2/-.籍.笈.箿
牧,muht,4/-.牧穆.钼.
凉,lliangy,2\-.凉..
牲,shengt,1/-.生升牲甥.笙.
佳,jiar,1/|.佳..
娜,nnuov,2~/.娜..
浓,nnongo,2\\.浓..
芳,fangf,1-|.芳坊.枋.
稿,gaaot,3/-.稿镐..筶
竹,zzhut,2/-.竹.竺.笜
腹,fuhq,4/~.负腹.鲋鳆.負
跌,diem,1|~.跌..
逻,lluom,2|~.罗逻螺..羅邏
垂,cchuit,2/-.垂锤..箠
遵,zuni,1\/.尊遵..鷷
脉,maihq,4/~.脉..脈
貌,maohw,4/\.貌..
柏,baaif,3-|.摆柏.捭.
狱,yuhq,4/~.狱.饫.
猜,caiq,1/~.猜..
怜,lliano,2\\.怜帘涟.濂.
惑,huohf,4-|.或获惑.藿.
陶,ttaob,2~|.陶..
兽,shouhi,4\/.兽..
