的,daiehh,5/|.的..
艺,yeiiih,4-|.艺抑.懿薏挹埸.藙蓺鷧藝耴輗苅驛
背,bieeeih,4|-.背辈.邶.輩
阵,zhoieehn,4~|.阵..陣
草,ceiaao,3-|.草..
脚,jaoiaao,3/~.角脚狡饺..腳
概,geiaaih,4-|.概.丐.蓋葢
恶,eieeh,4-|.恶扼.噩萼垩苊.蕚軛蘁
块,keiuaaih,4-|.块..駃
顿,deouuhn,4-~.顿..頓
敢,goeaan,3~-.敢..
守,shuuoou,3\\.守..
酒,juuiuu,3\\.酒..
岛,daoaao,3/~.岛..
托,teiuo,1-|.托拖..
央,yioang,1|~.央鸯..鴦眏
户,huouuh,4\~.户.扈祜戽.
烈,leaieeh,4-/.列烈裂..
洋,yuuahng,2\\.洋..
哥,geie,1-|.哥歌搁.圪.
索,seiuoo,3-|.索..
胡,heiuh,2-|.胡壶葫.鹕槲觳醐.縠
款,keiuaan,3-|.款..
靠,kaeaaoh,4/-.靠.铐犒.
评,puoihng,2\~.评..
版,baiaan,3/|.版..
宝,buuaao,3\\.宝..
座,zueuooh,4\-.座..
释,shauiih,4/\.释.弑.釋鉃鈰飾
景,jioiing,3|~.景..
顾,geauuh,4-/.顾..頋
弟,duaiih,4\/.弟递..
登,doueng,1~\.登..
货,haiuooh,4/|.货..貨
互,heouuh,4-~.互..
付,faiuuh,4/|.付傅阜..
伯,baioh,2/|.伯帛..
慢,muuaahn,4\\.慢漫..
欧,eaou,1-/.欧殴鸥.瓯.
换,heiuaahn,4-|.换.擐.藧
闻,wuiehn,2\|.闻.阌.
危,waoei,1/~.危..鳂
忙,muuahng,2\\.忙..
核,heieh,2-|.核荷菏.盍翮.鞨麧覈
暗,ioaahn,4|~.暗岸.黯.
姐,joaiee,3~/.姐..
介,jauieeh,4/\.介..
坏,heiuaaih,4-|.坏..
讨,tuoaao,3\~.讨..
丽,leiiih,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
良,luoiahng,2\~.良..
序,xueuuh,4\-.序畜..訹
升,shaeeng,1/-.生升牲甥.笙.
监,jiiian,1||.坚监..
临,liiihn,2||.临..
亮,lueiaahng,4\-.亮..諒
露,leuuuh,4-\.露..
永,yuooong,3\~.永..
呼,hiou,1|~.呼.唿.
味,wioeeih,4|~.味胃喂畏..蝟
野,yioee,3|~.野..虵
架,joaiaah,4~/.架驾嫁..駕
域,yeiuuh,4-|.域芋.蓣.穀鬱驈蕷
沙,shuua,1\\.沙.鲨裟.鯊
掉,deiiaaoh,4-|.掉..
括,keiuooh,4-|.括扩..鞟
舰,jaaiaahn,4//.舰..艦
鱼,yaouh,2/~.鱼.馀腴狳.魚魣鱮
杂,zaoah,2/~.杂..雑
误,wuouuh,4\~.误..
湾,wuuan,1\\.湾.剜.
吉,jeiih,2-|.极吉藉棘.楫蒺蕺.鞊趌
减,jueiaan,3\-.减..
编,booian,1~~.编..編
楚,cheiuu,3-|.楚.杵楮.
肯,kieeen,3|-.肯.龈.肻
测,cuueeh,4\\.测.恻.
败,bioaaih,4|~.败..贁
屋,woeu,1~-.屋..
跑,pioaao,3|~.跑..
梦,meieehng,4-|.梦..
散,seiaahn,4-|.散..
温,wuuen,1\\.温..
困,kiouuhn,4|~.困..睏
剑,jauiaahn,4/\.剑..鑑鍵
渐,juuiaahn,4\\.渐溅涧..
封,feieng,1-|.封枫.葑.
救,jeiiuuh,4-|.救.柩桕.舊
贵,giouiih,4|~.贵跪.炅刿.貴瞆趹
枪,qeiiang,1-|.枪..
缺,qaeue,1/-.缺..
楼,leiouh,2-|.楼.蒌.蔞鞻
县,xioiaahn,4|~.县.岘.県睍縣
尚,shiuaahng,4|\.尚..
毫,hueaoh,2\-.毫豪..
移,yaeih,2/-.移.迤.簃箷
娘,noaiahng,2~/.娘..
朋,paoehng,2/~.朋鹏膨..鵬
画,heiuaah,4-|.画.桦.
班,beean,1--.班斑..
智,zhaeiih,4/-.制智秩稚.雉.製铚秲锧稙鴙
亦,yueiih,4\-.意亦疫毅裔.奕弈翊癔瘗.議詣譯裛謚讛
耳,eieer,3-|.耳..薾趰
恩,ioen,1|~.恩..
短,daeuaan,3/-.短..
掌,zhiuaang,3|\.掌..
恐,keioong,3-|.恐..
遗,yioih,2|~.遗.咦贻眙嶷.遺貤貽
固,giouuh,4|~.固.崮.
席,xueih,2\-.席..襲
松,seiong,1-|.松.菘.
秘,maeiih,4/-.秘..
谢,xuoieeh,4\~.谢..
鲁,laouu,3/~.鲁..
遇,yiouuh,4|~.遇吁喻峪.昱蜮.閾
康,kueang,1\-.康..
虑,lyieuuh,4|-.虑..
幸,xeiiihng,4-|.幸杏.荇.莕
均,jeiun,1-|.均菌..莙
销,xaeiao,1/-.销.箫.箾簫簘
钟,zhaeong,1/-.钟.锺.
诗,shuoi,1\~.诗..
藏,ceiahng,2-|.藏..
赶,geiaan,3-|.赶.橄擀.趕
剧,joeuuh,4~-.剧.屦.
票,peiiaaoh,4-|.票..
损,seiuun,3-|.损.榫.
忽,haou,1/~.忽..
巨,jeouuh,4-~.巨..
炮,puaaaoh,4\/.炮..
旧,jiiiuuh,4||.旧..
端,dueuan,1\-.端..
探,teiaahn,4-|.探..
湖,huuuh,2\\.湖..
录,loeuuh,4~-.录.逯.盝
叶,yioeeh,4|~.叶曳.晔.
春,cheeun,1--.春..
乡,xooiang,1~~.乡.骧缃.鄉纕緗
附,foiuuh,4~|.附..
吸,xioi,1|~.吸晰嘻.螅曦蟋蜥唏.睎
予,youuu,3~\.予羽..頨
礼,luoii,3\~.礼..裡禮
港,guuaang,3\\.港..
雨,yeiuu,3-|.雨..藇蘌
呀,yioahh,5|~.呀..
板,beiaan,3-|.板.坂.覂
庭,tueihng,2\-.庭亭..
妇,foauuh,4~/.妇..
归,giaui,1|/.归..
睛,jioing,1|~.睛晶..
饭,faoaahn,4/~.犯饭..
额,uueh,2\\.额..額
含,hauahn,2/\.含..
顺,shaiuuhn,4/|.顺..順
输,sheou,1-~.输..
摇,yeiaoh,2-|.摇..蕘
招,zheiao,1-|.招..駋
婚,hoaun,1~/.婚..
脱,taouo,1/~.脱..脫
补,buouu,3\~.补..補
谓,wuoeeih,4\~.谓..
督,dieu,1|-.督..
毒,deeuh,2--.毒..
油,yuuouh,2\\.游油..
疗,lueiaoh,2\-.疗..
旅,lyueuu,3\-.旅.膂.
泽,zuueh,2\\.泽..
材,ceiaih,2-|.才材裁..
灭,meuieeh,4-\.灭..
逐,zheauh,2-/.逐..
莫,meiooh,4-|.莫.蓦茉.驀藦
笔,baeii,3/-.笔.秕.筆
亡,wueahng,2\-.亡..
鲜,xaoian,1/~.鲜..鮮鱻
词,cuoih,2\~.词.祠.
圣,shoueehng,4~\.圣..
择,zeieh,2-|.择.赜.
寻,xoeuhn,2~-.寻..鄩
厂,cheaaang,3-/.厂..
睡,shiouiih,4|~.睡..
博,beioh,2-|.博勃搏.鹁.茀駮豰
勒,leiei,1-|.勒..
烟,yuaan,1\/.烟..
授,sheioouh,4-|.授..醻
诺,nuouooh,4\~.诺..
伦,laiuhn,2/|.伦..
岸,ioaahn,4|~.暗岸.黯.
奥,aiaaoh,4/|.奥傲..
唐,tueahng,2\-.唐..
卖,meiaaih,4-|.卖..麥賣邁
俄,aieh,2/|.俄..
炸,zhuaaah,4\/.炸..
载,zeiaaih,4-|.再载..酨
洛,luuuooh,4\\.洛.漯泺.
健,jaiiaahn,4/|.件健.僭.
堂,tiuahng,2|\.堂棠..
旁,pueahng,2\-.旁庞..
宫,guuong,1\\.宫..
喝,hioe,1|~.喝呵.嗬.
借,jaiieeh,4/|.借..
君,joeun,1~-.君..覠
禁,jeiiihn,4-|.禁晋靳.荩觐.
阴,yoiin,1~|.阴..陰陻
园,yiouahn,2|~.员园圆.螈.
谋,muoouh,2\~.谋..
宋,suuoohng,4\\.宋..
避,boeiih,4~-.避壁臂辟.璧弼嬖襞.鸊躄鼊繴
抓,zheiua,1-|.抓..髽
荣,reiohng,2-|.荣融蓉茸.榕.駥
姑,goau,1~/.姑..
孙,soiun,1~|.孙..
逃,tauaoh,2/\.逃.鼗.鋾
牙,yeoah,2-~.牙..
束,sheiuuh,4-|.术述树束..豎蒁鶐
跳,tioiaaoh,4|~.跳眺..
顶,deiiing,3-|.顶.酊.頂艼
玉,yeeuuh,4--.玉..鳿
镇,zhaeeehn,4/-.镇..
雪,xeuuee,3-\.雪..
午,waeuu,3/-.午舞.迕牾.
练,looiaahn,4~~.练..練
迫,paiooh,4/|.迫魄..
爷,yaueh,2/\.爷..
篇,paeian,1/-.篇.犏.
肉,riooouh,4|~.肉..
嘴,ziouii,3|~.嘴..
馆,gaouaan,3/~.馆..鳤
遍,buoiaahn,4\~.遍..
凡,faoahn,2/~.凡..
础,cheauu,3-/.础..礎
洞,duuoohng,4\\.洞恫..
卷,juauaan,3\/.卷..
坦,teiaan,3-|.坦..
牛,naeiuh,2/-.牛..
宁,nuuiihng,4\\.宁泞..
纸,zhooii,3~~.纸..紙絺
诸,zhuou,1\~.诸诛..
训,xuouuhn,4\~.训讯..
私,saei,1/-.私.锶.
庄,zhueuang,1\-.装庄妆..
祖,zuouu,3\~.祖诅..
丝,sooi,1~~.丝.鸶缌.絲鷥緦
翻,fauan,1/\.翻番..
暴,bioaaoh,4|~.暴.趵.
森,seien,1-|.森..
塔,teiaa,3-|.塔..
默,mioooh,4|~.默墨..瞐眜
握,weiooh,4-|.握卧斡..臥
戏,xouiih,4~\.戏..
隐,yoiiin,3~|.隐..隱
熟,shueuh,2\-.熟孰.塾.
骨,giouu,3|~.骨蛊.鹘罟.
访,fuoaang,3\~.访..
弱,roeuooh,4~-.弱..鶸
蒙,meiehng,2-|.蒙萌檬.瞢甍.
歌,geie,1-|.哥歌搁.圪.
店,dueiaahn,4\-.店.癜.
鬼,gaiuii,3/|.鬼..
软,reouaan,3-~.软..
典,dioiaan,3|~.典.踮.點
欲,yauuuh,4/\.欲愈.鹆.鋊鈺鐍錥
萨,seiaah,4-|.萨..
伙,haiuoo,3/|.伙..
遭,zeiao,1-|.遭..
盘,paaahn,2//.盘磐..盤
爸,bauaah,4/\.爸..
扩,keiuooh,4-|.括扩..鞟
盖,guaaaih,4\/.盖..
弄,neeoohng,4--.弄..
雄,xeaiohng,2-/.雄..
稳,waeeen,3/-.稳..穩
忘,wueaahng,4\-.望忘妄..
亿,yaiiih,4/|.亿.佚仡佾劓.鶃
刺,ceiiih,4-|.刺..莿
拥,yeiong,1-|.拥.墉.
徒,taauh,2//.徒..
姆,moauu,3~/.姆..
杨,yeiahng,2-|.杨扬..輰
齐,queih,2\-.齐旗.麒.齊麡竒
赛,suuaaih,4\\.赛..
趣,qeiuuh,4-|.去趣..
曲,qiou,1|~.曲蛆.岖蛐黢.
刀,doaao,1~/.刀..
床,chueuahng,2\-.床..
迎,yaoihng,2/~.迎..
冰,bueing,1\-.冰..
虚,xieu,1|-.虚..虛虗
玩,weeahn,2--.玩顽..
析,xeii,1-|.西析昔熙.熹皙醯樨菥.
窗,chuuuang,1\\.窗..
醒,xeiiing,3-|.醒.擤.
妻,qeoi,1-~.七妻..郪鶈
透,taeoouh,4/-.透..
购,giooouh,4|~.购..購
替,teeiih,4--.替..
塞,suuai,1\\.塞..
努,noauu,3~/.努.弩胬.
休,xaiiu,1/|.修休.鸺.鵂
虎,hieuu,3|-.虎..虝
扬,yeiahng,2-|.杨扬..輰
途,tauuh,2/\.途..鍎
侵,qaiin,1/|.侵..
刑,xeeihng,2--.形型刑邢..
绿,lyoouuh,4~~.绿..綠繂
兄,xioiong,1|~.兄..
迅,xoeuuhn,4~-.迅.巽.
套,teaaaoh,4-/.套..
贸,maoaaoh,4/~.贸..貿鄮
毕,beoiih,4-~.毕毙毖..
唯,wioeih,2|~.围唯.帷嵬帏.
谷,gauuu,3/\.谷..
轮,leouhn,2-~.轮..
库,kueuuh,4\-.库..
迹,jueiih,4\-.迹剂..計記訐
尤,yeaouh,2-/.尤..
竞,jueiihng,4\-.竟竞净靖痉..競竸
街,jaaie,1//.街..
促,caiuuh,4/|.促..
延,yaiahn,2/|.延..
震,zheueehn,4-\.震..
弃,queiih,4\-.弃..
甲,jioiaa,3|~.甲.岬.
伟,waieei,3/|.伟伪..
麻,mueah,2\-.麻..
川,chaiuan,1/|.川..
申,shioen,1|~.申呻..
缓,hoouaan,3~~.缓..緩
潜,quuiahn,2\\.潜..
闪,shuiaan,3\|.闪..
售,shaioouh,4/|.售..
灯,duaeng,1\/.灯..
针,zhaeen,1/-.针.箴.
哲,zheieh,2-|.哲折蛰.摺.謺輒
络,loouooh,4~~.络骆..絡
抵,deiii,3-|.抵.柢.菧聜軧
朱,zhaeu,1/-.朱.铢邾.鼄秼
埃,eiai,1-|.埃挨..
抱,beiaaoh,4-|.报抱..菢
鼓,geiuu,3-|.古鼓贾.嘏瞽.盬糓
植,zheiih,2-|.直职执植.摭絷埴.職
纯,choouhn,2~~.纯..純
夏,xeaiaah,4-/.夏..
忍,roaeen,3~/.忍..
页,yeaeeh,4-/.页.靥.頁
杰,jeiieh,2-|.节杰截捷劫桔.颉拮.蓵
筑,zhaeuuh,4/-.筑铸.箸.築
折,zheieh,2-|.哲折蛰.摺.謺輒
郑,zhuaeehng,4\/.郑..
贝,bioeeih,4|~.贝..貝骳
尊,zuaun,1\/.尊遵..鷷
吴,wiouh,2|~.吴.蜈.
秀,xaeiuuh,4/-.秀锈..
混,huuuuhn,4\\.混.溷.
臣,cheiehn,2-|.臣..蔯茞
雅,yeoaa,3-~.雅..
振,zheieehn,4-|.振.圳.
染,ruuaan,3\\.染..
盛,cheaehng,2-/.成盛..郕碀
怒,noauuh,4~/.怒..
舞,waeuu,3/-.午舞.迕牾.
圆,yiouahn,2|~.员园圆.螈.
搞,geiaao,3-|.搞.槁藁.菒藳
狂,kaouahng,2/~.狂..鵟
措,ceiuooh,4-|.措挫..
姓,xoaiihng,4~/.姓..
残,ceaahn,2-/.残..
秋,qaeiu,1/-.秋..鹙穐龝
培,peieih,2-|.培..
迷,muaih,2\/.迷..麊
诚,chuoehng,2\~.诚.裎.
宽,kuuuan,1\\.宽..
宇,yuuuu,3\\.宇.窳.
猛,maoeeng,3/~.猛..
摆,beiaai,3-|.摆柏.捭.
梅,meieih,2-|.梅枚酶.楣莓.蘪
毁,haiuii,3/|.毁..
伸,shaien,1/|.身伸..
摩,mueoh,2\-.摩魔磨..謨
盟,mioehng,2|~.盟.虻.鄳矒
末,meeooh,4--.末.耱.
乃,noaaai,3~/.乃奶..
悲,bieei,1|-.悲..
拍,peiai,1-|.拍..
丁,deiing,1-|.丁.耵.
赵,zheiaaoh,4-|.赵.棹.趙
硬,yeaiihng,4-/.硬..
麦,meeaaih,4--.麦..
蒋,jeiiaang,3-|.蒋..蔣
操,ceiao,1-|.操..
耶,yeieh,2-|.耶.揶.
阻,zoiuu,3~|.阻..
订,duoiihng,4\~.订..
彩,cauaai,3/\.采彩..
抽,cheiou,1-|.抽..
赞,zaeaahn,4/-.赞..酂酇贊
魔,mueoh,2\-.摩魔磨..謨
纷,fooen,1~~.纷..紛
沿,yuuahn,2\\.沿..
喊,hioaan,3|~.喊..
违,weeeih,2--.违韦..
妹,moaeeih,4~/.妹媚..
浪,luuaahng,4\\.浪..
汇,huuuiih,4\\.汇.浍.
币,baiiih,4/|.币..
丰,feeeng,1--.丰..
蓝,leiahn,2-|.蓝拦栏婪..蘭葻藍
殊,sheau,1-/.殊..
献,xeiiaahn,4-|.献.苋.軐
桌,zhieuo,1|-.桌..
啦,lioahh,5|~.啦..
瓦,weoaa,3-~.瓦..
莱,leiaih,2-|.莱..萊鶆
援,yeiuahn,2-|.援袁垣.芫塬橼.薗
译,yuoiih,4\~.议译谊诣..袣褹
夺,deauoh,2-/.夺..
汽,quuiih,4\\.汽泣.汔.
烧,shuaao,1\/.烧..
距,jiouuh,4|~.具距踞.瞿.
裁,ceiaih,2-|.才材裁..
偏,paiian,1/|.偏..
符,faeuh,2/-.符氟..
勇,youoong,3~\.勇恿.甬.
触,chaouuh,4/~.处触..觸臅
课,kuoeeh,4\~.课..袔
敬,jeiiihng,4-|.境敬..
哭,kiou,1|~.哭.骷.跍
懂,duuoong,3\\.懂..
墙,qeiiahng,2-|.墙蔷.樯.薔
袭,xeaih,2-/.袭..
召,zhoaaaoh,4~/.召..
罚,fioah,2|~.罚..罰
侠,xaiiah,2/|.侠..
厅,teaing,1-/.厅..
拜,baeaaih,4/-.拜稗..
巧,qeiiaao,3-|.巧..
侧,caieeh,4/|.侧..
韩,heiahn,2-|.韩邯..韓
冒,mioaaoh,4|~.冒帽..
债,zhaiaaih,4/|.债..
曼,mioaahn,4|~.曼.幔.
融,reiohng,2-|.荣融蓉茸.榕.駥
惯,guuuaahn,4\\.惯灌.涫.
享,xueiaang,3\-.享..
戴,deiaaih,4-|.带戴.埭.
童,tueohng,2\-.童..
犹,yaoouh,2/~.犹.鱿.鲉鮋
乘,chaeehng,2/-.程乘.铖.
挂,geiuaah,4-|.挂.卦.
奖,jueiaang,3\-.奖桨..講
绍,shooaaoh,4~~.绍..紹
厚,heaoouh,4-/.厚..
纵,zoooohng,4~~.纵..縱
障,zhoiaahng,4~|.障..
讯,xuouuhn,4\~.训讯..
涉,shuueeh,4\\.涉慑.滠.
彻,chaaeeh,4//.彻..
刊,keean,1--.刊..
丈,zheaaahng,4-/.丈..
爆,buaaaoh,4\/.爆..
乌,waou,1/~.乌.邬.鰞
役,yaaiih,4//.役..
描,meiiaoh,2-|.描苗.鹋.鶓
洗,xuuii,3\\.洗..
玛,meeaa,3--.玛..
患,hiouaahn,4|~.患唤..瞣
妙,moaiaaoh,4~/.妙..
镜,jaeiihng,4/-.镜..
唱,chioaahng,4|~.唱畅..
烦,fuaahn,2\/.烦.燔.
签,qaeian,1/-.千签迁铅钎..籤箞簽
仙,xaiian,1/|.仙..
彼,baaii,3//.彼.舭.
弗,foeuh,2~-.弗.艴.
症,zhueeehng,4\-.症..證証
仿,faiaang,3/|.仿..
倾,qaiing,1/|.倾..
牌,paiaih,2/|.牌.俳.
陷,xoiiaahn,4~|.限陷..
鸟,naoiaao,3/~.鸟.袅.
轰,heoong,1-~.轰..
咱,zioahn,2|~.咱..
菜,ceiaaih,4-|.菜蔡..
闭,buiiih,4\|.闭..
奋,feaeehn,4-/.奋..
庆,queiihng,4\-.庆..
撤,cheieeh,4-|.撤.坼.
泪,luueeih,4\\.泪..
茶,cheiah,2-|.查茶茬搽.楂槎檫.
疾,jueih,2\-.疾脊.瘠.鹡鶺
缘,yoouahn,2~~.缘..緣縁
播,beio,1-|.播拨菠..
朗,luoaang,3\~.朗..
杜,deiuuh,4-|.杜.蠹芏.
奶,noaaai,3~/.乃奶..
季,jaeiih,4/-.季.稷.穊穄
丹,daoan,1/~.丹..
狗,gaooou,3/~.狗..
尾,woeeei,3~-.尾..
仪,yaiih,2/|.仪..
偷,taiou,1/|.偷..
奔,beaen,1-/.奔..
珠,zheeu,1--.珠..
虫,chioohng,2|~.虫崇..蟲
驻,zhoouuh,4~~.驻..纻紵
孔,koioong,3~|.孔..
宜,yuuih,2\\.宜沂.怡.
艾,eiaaih,4-|.艾..鴱薆
桥,qeiiaoh,2-|.桥.樵荞鞒.菬藮
淡,duuaahn,4\\.淡惮.澹.
翼,youiih,4~\.翼翌.羿.
恨,huueehn,4\\.恨..
繁,faeahn,2/-.繁钒..緐笲
寒,huuahn,2\\.寒涵..
伴,baiaahn,4/|.伴..
叹,tioaahn,4|~.叹炭..
旦,dioaahn,4|~.旦.啖.贉
愈,yauuuh,4/\.欲愈.鹆.鋊鈺鐍錥
潮,chuuaoh,2\\.潮..
粮,luaiahng,2\/.粮..糧
缩,soouo,1~~.缩..縮
罢,bioaah,4|~.罢..罷跁
聚,jeiuuh,4-|.据聚拒.苣醵.
径,jaaiihng,4//.径..
恰,quuiaah,4\\.恰洽..
挑,teiiao,1-|.挑..
袋,daiaaih,4/|.代袋贷.黛岱.貸
灰,heaui,1-/.灰.虺.豗
捕,beiuu,3-|.捕..
徐,xaauh,2//.徐..
珍,zheeen,1--.珍..
幕,meiuuh,4-|.木幕墓慕募暮.苜.
映,yioiihng,4|~.映..
裂,leaieeh,4-/.列烈裂..
泰,teeaaih,4--.泰..
隔,goieh,2~|.隔..
启,quoii,3\~.启.綮.
尖,jiaian,1|/.尖..
忠,zhioong,1|~.中忠盅..蹱
累,lioeeih,4|~.累..纍
炎,yuaahn,2\/.炎..
暂,zeoaahn,4-~.暂.錾.
估,gaiu,1/|.估..
泛,fuuaahn,4\\.泛..盕
荒,heiuang,1-|.荒..
偿,chaiahng,2/|.偿..
横,heiehng,2-|.横.桁蘅.
拒,jeiuuh,4-|.据聚拒.苣醵.
瑞,reeuiih,4--.瑞..
忆,yuuiih,4\\.忆溢.悒怿.
孤,goiu,1~|.孤..
鼻,baiih,2/|.鼻..
闹,nuiaaoh,4\|.闹..
羊,yuaahng,2\/.羊.炀烊.鴹
呆,dioai,1|~.呆..
厉,leaiih,4-/.历厉励砾.砺.磿
衡,haaehng,2//.衡..鸻鴴
胞,baoao,1/~.包胞..
零,leuihng,2-\.零.酃.靈霝
穷,quuiohng,2\\.穷.穹.窮
舍,shaueeh,4/\.舍.歙.
码,meaaa,3-/.码..碼
赫,heieeh,4-|.赫..
婆,puuoh,2\\.婆..
魂,heeuhn,2--.魂..
灾,zuuai,1\\.灾..
洪,huuohng,2\\.洪宏鸿.泓黉.鴻
腿,taouii,3/~.腿..脮
胆,daoaan,3/~.胆..膽
津,juuin,1\\.津..
俗,saiuh,2/|.俗..
辩,bueiaahn,4\-.变辩辨辫卞..變辯
胸,xaoiong,1/~.胸匈..
晓,xioiaao,3|~.晓..
劲,jouiihn,4~\.劲..
贫,pauihn,2/\.贫..貧
仁,raiehn,2/|.仁..鵀
偶,aioou,3/|.偶..
辑,jeoih,2-~.辑..
邦,beeang,1--.帮邦..邫
恢,huuui,1\\.恢..
赖,leiaaih,4-|.赖..賴賚鵣
圈,qiouan,1|~.圈..
摸,meio,1-|.摸..
仰,yaiaang,3/|.仰..
润,ruuuuhn,4\\.润..
堆,deiui,1-|.堆..
碰,peaeehng,4-/.碰..
艇,taaiing,3//.艇..
稍,shaeao,1/-.稍.筲.
迟,choeih,2~-.迟弛..遲
辆,leoiaahng,4-~.辆..
废,fueeeih,4\-.废.痱.
净,jueiihng,4\-.竟竞净靖痉..競竸
凶,xauiong,1/\.凶..
署,shiouu,3|~.署蜀暑曙..
壁,boeiih,4~-.避壁臂辟.璧弼嬖襞.鸊躄鼊繴
御,yaauuh,4//.御..禦衘
奉,feeeehng,4--.奉..
旋,xueuahn,2\-.旋玄.痃.
冬,daoong,1/~.冬..
矿,keauaahng,4-/.矿..礦
抬,teiaih,2-|.抬.薹.臺菭
蛋,doiaahn,4~|.蛋..
晨,chioehn,2|~.晨..
伏,faiuh,2/|.伏俘..
吹,chioui,1|~.吹..
鸡,joui,1~\.鸡..
倍,baieeih,4/|.倍..
糊,huauh,2\/.糊.煳.
秦,qeeihn,2--.秦琴..
盾,daauuhn,4//.盾遁..
杯,beiei,1-|.杯..藣
租,zaeu,1/-.租..
骑,qooih,2~~.骑.骐.纃
乏,fauah,2/\.乏..
隆,loiohng,2~|.隆..
诊,zhuoeen,3\~.诊..袗
奴,noauh,2~/.奴.驽孥.砮
摄,sheieeh,4-|.摄赦..蔎騇
丧,seiaahng,4-|.丧..
污,wuuu,1\\.污..
渡,duuuuh,4\\.渡..
旗,queih,2\-.齐旗.麒.齊麡竒
甘,geian,1-|.甘杆柑.苷酐坩.
耐,neaaaih,4-/.耐奈..
凭,paiihng,2/|.凭..
扎,zheia,1-|.扎.揸.
抢,qeiiaang,3-|.抢..
绪,xoouuh,4~~.续绪..續緒
粗,cuau,1\/.粗..
肩,juoian,1\~.肩..鵳
梁,luuiahng,2\\.梁粱..
幻,hoouaahn,4~~.幻..
菲,feieei,3-|.菲匪.榧.蕜
皆,jeoie,1-~.皆..
碎,seauiih,4-/.碎..
宙,zhuuoouh,4\\.宙..
叔,shieu,1|-.叔..
岩,yioahn,2|~.岩蜒..閻
荡,deiaahng,4-|.荡档.菪.趤
综,zooong,1~~.综..綜緵骔
爬,paaah,2//.爬..
荷,heieh,2-|.核荷菏.盍翮.鞨麧覈
悉,xaui,1/\.希悉.兮奚翕欷.錫豀鏭鑴翖
蒂,deiiih,4-|.地蒂.棣.菂
返,faaaan,3//.反返..
井,jeeiing,3--.井..
壮,zhueuaahng,4\-.状壮..
薄,beiaoh,2-|.薄..
悄,quuiao,1\\.悄..
扫,seiaao,3-|.扫..
敏,maeiin,3/-.敏.鳘.簢鰵
碍,eaaaih,4-/.碍.砹.礙
殖,zheaih,2-/.殖..
详,xuoiahng,2\~.详祥..
迪,dioih,2|~.迪..踧
矛,mouaoh,2~\.矛.蟊蝥.
霍,heuuooh,4-\.霍..靃
允,youuun,3~\.允..
幅,fiouh,2|~.幅.蝠蚨罘蜉幞.
撒,seia,1-|.撒..
剩,shaeeehng,4/-.剩..
凯,kioaai,3|~.凯.剀.
颗,kioe,1|~.颗.瞌蝌嗑髁.顆趷
骂,mioaah,4|~.骂.唛.罵駡
赏,shiuaang,3|\.赏..賞
液,yuueeh,4\\.液..
番,fauan,1/\.翻番..
箱,xaeiang,1/-.香箱镶..
贴,tioie,1|~.贴帖..貼
漫,muuaahn,4\\.慢漫..
酸,seiuan,1-|.酸..
郎,luoahng,2\~.郎..郞
腰,yaoao,1/~.腰..
舒,shauu,1/\.舒.毹.鵨
眉,moieih,2~|.眉.鹛.郿
忧,yuuou,1\\.忧..
浮,fuuuh,2\\.浮涪..
辛,xuein,1\-.新辛.歆.
恋,lueiaahn,4\-.恋..
餐,ciean,1|-.餐..
吓,xioiaah,4|~.吓..
挺,teiiing,3-|.挺.梃.
励,leaiih,4-/.历厉励砾.砺.磿
辞,caeih,2/-.辞..
艘,saaou,1//.艘..
键,jaeiaahn,4/-.键箭.毽.
伍,waiuu,3/|.伍侮.仵.
峰,fioeng,1|~.峰蜂..鄷盽豊
尺,choeii,3~-.尺..
昨,ziouoh,2|~.昨..
黎,laeih,2/-.黎梨篱犁.黧.鋫邌鯬筣籬
辈,bieeeih,4|-.背辈.邶.輩
贯,goouaahn,4~~.贯..貫
侦,zhaien,1/|.侦..
滑,huuuah,2\\.滑豁..
券,quauaahn,4\/.券..
崇,chioohng,2|~.虫崇..蟲
扰,reiaao,3-|.扰..遶
宪,xuuiaahn,4\\.宪..
绕,rooaaoh,4~~.绕..繞
趋,qeiu,1-|.趋.麴.趨驅麯
慈,cuaih,2\/.慈.鹚糍.
乔,qaeiaoh,2/-.乔..
阅,yuiueeh,4\|.阅..
汗,huuaahn,4\\.汉汗憾悍.瀚.
枝,zheii,1-|.支枝芝.栀.鳷
拖,teiuo,1-|.托拖..
墨,mioooh,4|~.默墨..瞐眜
胁,xaoieh,2/~.胁..
插,cheia,1-|.插.杈.
箭,jaeiaahn,4/-.键箭.毽.
腊,laoaah,4/~.腊..鱲臘臈
粉,fuaeen,3\/.粉..
泥,nuuih,2\\.泥.怩.
氏,shaoiih,4/~.氏饰..
彭,peiehng,2-|.彭蓬棚.堋.芃髼鬅
拔,beiah,2-|.拔.菝茇.軷
骗,pooiaahn,4~~.骗..
凤,faoeehng,4/~.凤..鳳
慧,heeuiih,4--.慧.彗.
媒,moaeih,2~/.媒..
佩,paieeih,4/|.佩..
愤,fuueehn,4\\.愤..
扑,peiu,1-|.扑..
龄,lieihng,2|-.龄..齡齢
驱,qoou,1~~.驱..
惜,xuui,1\\.惜溪汐.淅浠穸.窸鸂
豪,hueaoh,2\-.毫豪..
掩,yeiaan,3-|.掩.郾.菴酀鶠
