的,daihe,5/|.的..
座,zueyuo,4\-.座..
释,shauyi,4/\.释.弑.釋鉃鈰飾
景,jioving,3|~.景..
顾,geayu,4-/.顾..頋
弟,duayi,4\/.弟递..
登,douweng,1~\.登..
货,haiyuo,4/|.货..貨
互,heoyu,4-~.互..
付,faiyu,4/|.付傅阜..
伯,bairo,2/|.伯帛..
慢,muyan,4\\.慢漫..
欧,eawou,1-/.欧殴鸥.瓯.
换,heiyuan,4-|.换.擐.藧
闻,wuiren,2\|.闻.阌.
危,waowei,1/~.危..鳂
忙,murang,2\\.忙..
核,heire,2-|.核荷菏.盍翮.鞨麧覈
暗,ioyan,4|~.暗岸.黯.
姐,joavie,3~/.姐..
介,jauyie,4/\.介..
坏,heiyuai,4-|.坏..
讨,tuovao,3\~.讨..
丽,leiyi,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
良,luoriang,2\~.良..
序,xueyu,4\-.序畜..訹
升,shaeweng,1/-.生升牲甥.笙.
监,jiwian,1||.坚监..
临,lirin,2||.临..
亮,lueyiang,4\-.亮..諒
露,leuyu,4-\.露..
永,yuovong,3\~.永..
呼,hiowu,1|~.呼.唿.
味,wioyei,4|~.味胃喂畏..蝟
野,yiove,3|~.野..虵
架,joayia,4~/.架驾嫁..駕
域,yeiyu,4-|.域芋.蓣.穀鬱驈蕷
沙,shuwa,1\\.沙.鲨裟.鯊
掉,deiyiao,4-|.掉..
括,keiyuo,4-|.括扩..鞟
舰,jayian,4//.舰..艦
鱼,yaoru,2/~.鱼.馀腴狳.魚魣鱮
杂,zaora,2/~.杂..雑
误,wuoyu,4\~.误..
湾,wuwan,1\\.湾.剜.
吉,jeiri,2-|.极吉藉棘.楫蒺蕺.鞊趌
减,juevian,3\-.减..
编,bowian,1~~.编..編
楚,cheivu,3-|.楚.杵楮.
肯,kieven,3|-.肯.龈.肻
测,cuye,4\\.测.恻.
败,bioyai,4|~.败..贁
屋,woewu,1~-.屋..
跑,piovao,3|~.跑..
梦,meiyeng,4-|.梦..
散,seiyan,4-|.散..
温,wuwen,1\\.温..
困,kioyun,4|~.困..睏
剑,jauyian,4/\.剑..鑑鍵
渐,juyian,4\\.渐溅涧..
封,feiweng,1-|.封枫.葑.
救,jeiyiu,4-|.救.柩桕.舊
贵,gioyui,4|~.贵跪.炅刿.貴瞆趹
枪,qeiwiang,1-|.枪..
缺,qaewue,1/-.缺..
楼,leirou,2-|.楼.蒌.蔞鞻
县,xioyian,4|~.县.岘.県睍縣
尚,shiuyang,4|\.尚..
毫,huerao,2\-.毫豪..
移,yaeri,2/-.移.迤.簃箷
娘,noariang,2~/.娘..
朋,paoreng,2/~.朋鹏膨..鵬
画,heiyua,4-|.画.桦.
班,bewan,1--.班斑..
智,zhaeyi,4/-.制智秩稚.雉.製铚秲锧稙鴙
亦,yueyi,4\-.意亦疫毅裔.奕弈翊癔瘗.議詣譯裛謚讛
耳,eiver,3-|.耳..薾趰
恩,iowen,1|~.恩..
短,daevuan,3/-.短..
掌,zhiuvang,3|\.掌..
恐,keivong,3-|.恐..
遗,yiori,2|~.遗.咦贻眙嶷.遺貤貽
固,gioyu,4|~.固.崮.
席,xueri,2\-.席..襲
松,seiwong,1-|.松.菘.
秘,maeyi,4/-.秘..
谢,xuoyie,4\~.谢..
鲁,laovu,3/~.鲁..
遇,yioyu,4|~.遇吁喻峪.昱蜮.閾
康,kuewang,1\-.康..
虑,lyieyu,4|-.虑..
幸,xeiying,4-|.幸杏.荇.莕
均,jeiwun,1-|.均菌..莙
销,xaewiao,1/-.销.箫.箾簫簘
钟,zhaewong,1/-.钟.锺.
诗,shuowi,1\~.诗..
藏,ceirang,2-|.藏..
赶,geivan,3-|.赶.橄擀.趕
剧,joeyu,4~-.剧.屦.
票,peiyiao,4-|.票..
损,seivun,3-|.损.榫.
忽,haowu,1/~.忽..
巨,jeoyu,4-~.巨..
炮,puayao,4\/.炮..
旧,jiyiu,4||.旧..
端,duewuan,1\-.端..
探,teiyan,4-|.探..
湖,huru,2\\.湖..
录,loeyu,4~-.录.逯.盝
叶,yioye,4|~.叶曳.晔.
春,chewun,1--.春..
乡,xowiang,1~~.乡.骧缃.鄉纕緗
附,foiyu,4~|.附..
吸,xiowi,1|~.吸晰嘻.螅曦蟋蜥唏.睎
予,youvu,3~\.予羽..頨
礼,luovi,3\~.礼..裡禮
港,guvang,3\\.港..
雨,yeivu,3-|.雨..藇蘌
呀,yioha,5|~.呀..
板,beivan,3-|.板.坂.覂
庭,tuering,2\-.庭亭..
妇,foayu,4~/.妇..
归,giawui,1|/.归..
睛,jiowing,1|~.睛晶..
饭,faoyan,4/~.犯饭..
额,ure,2\\.额..額
含,hauran,2/\.含..
顺,shaiyun,4/|.顺..順
输,sheowu,1-~.输..
摇,yeirao,2-|.摇..蕘
招,zheiwao,1-|.招..駋
婚,hoawun,1~/.婚..
脱,taowuo,1/~.脱..脫
补,buovu,3\~.补..補
谓,wuoyei,4\~.谓..
督,diewu,1|-.督..
毒,deru,2--.毒..
油,yurou,2\\.游油..
疗,lueriao,2\-.疗..
旅,lyuevu,3\-.旅.膂.
泽,zure,2\\.泽..
材,ceirai,2-|.才材裁..
灭,meuyie,4-\.灭..
逐,zhearu,2-/.逐..
莫,meiyo,4-|.莫.蓦茉.驀藦
笔,baevi,3/-.笔.秕.筆
亡,wuerang,2\-.亡..
鲜,xaowian,1/~.鲜..鮮鱻
词,cuori,2\~.词.祠.
圣,shouyeng,4~\.圣..
择,zeire,2-|.择.赜.
寻,xoerun,2~-.寻..鄩
厂,cheavang,3-/.厂..
睡,shioyui,4|~.睡..
博,beiro,2-|.博勃搏.鹁.茀駮豰
勒,leiwei,1-|.勒..
烟,yuawan,1\/.烟..
授,sheiyou,4-|.授..醻
诺,nuoyuo,4\~.诺..
伦,lairun,2/|.伦..
岸,ioyan,4|~.暗岸.黯.
奥,aiyao,4/|.奥傲..
唐,tuerang,2\-.唐..
卖,meiyai,4-|.卖..麥賣邁
俄,aire,2/|.俄..
炸,zhuaya,4\/.炸..
载,zeiyai,4-|.再载..酨
洛,luyuo,4\\.洛.漯泺.
健,jaiyian,4/|.件健.僭.
堂,tiurang,2|\.堂棠..
旁,puerang,2\-.旁庞..
宫,guwong,1\\.宫..
喝,hiowe,1|~.喝呵.嗬.
借,jaiyie,4/|.借..
君,joewun,1~-.君..覠
禁,jeiyin,4-|.禁晋靳.荩觐.
阴,yoiwin,1~|.阴..陰陻
园,yioruan,2|~.员园圆.螈.
谋,muorou,2\~.谋..
宋,suyong,4\\.宋..
避,boeyi,4~-.避壁臂辟.璧弼嬖襞.鸊躄鼊繴
抓,zheiwua,1-|.抓..髽
荣,reirong,2-|.荣融蓉茸.榕.駥
姑,goawu,1~/.姑..
孙,soiwun,1~|.孙..
逃,taurao,2/\.逃.鼗.鋾
牙,yeora,2-~.牙..
束,sheiyu,4-|.术述树束..豎蒁鶐
跳,tioyiao,4|~.跳眺..
顶,deiving,3-|.顶.酊.頂艼
玉,yeyu,4--.玉..鳿
镇,zhaeyen,4/-.镇..
雪,xeuvue,3-\.雪..
午,waevu,3/-.午舞.迕牾.
练,loyian,4~~.练..練
迫,paiyo,4/|.迫魄..
爷,yaure,2/\.爷..
篇,paewian,1/-.篇.犏.
肉,rioyou,4|~.肉..
嘴,ziovui,3|~.嘴..
馆,gaovuan,3/~.馆..鳤
遍,buoyian,4\~.遍..
凡,faoran,2/~.凡..
础,cheavu,3-/.础..礎
洞,duyong,4\\.洞恫..
卷,juavuan,3\/.卷..
坦,teivan,3-|.坦..
牛,naeriu,2/-.牛..
宁,nuying,4\\.宁泞..
纸,zhovi,3~~.纸..紙絺
诸,zhuowu,1\~.诸诛..
训,xuoyun,4\~.训讯..
私,saewi,1/-.私.锶.
庄,zhuewuang,1\-.装庄妆..
祖,zuovu,3\~.祖诅..
丝,sowi,1~~.丝.鸶缌.絲鷥緦
翻,fauwan,1/\.翻番..
暴,bioyao,4|~.暴.趵.
森,seiwen,1-|.森..
塔,teiva,3-|.塔..
默,mioyo,4|~.默墨..瞐眜
握,weiyo,4-|.握卧斡..臥
戏,xouyi,4~\.戏..
隐,yoivin,3~|.隐..隱
熟,shueru,2\-.熟孰.塾.
骨,giovu,3|~.骨蛊.鹘罟.
访,fuovang,3\~.访..
弱,roeyuo,4~-.弱..鶸
蒙,meireng,2-|.蒙萌檬.瞢甍.
歌,geiwe,1-|.哥歌搁.圪.
店,dueyian,4\-.店.癜.
鬼,gaivui,3/|.鬼..
软,reovuan,3-~.软..
典,diovian,3|~.典.踮.點
欲,yauyu,4/\.欲愈.鹆.鋊鈺鐍錥
萨,seiya,4-|.萨..
伙,haivuo,3/|.伙..
遭,zeiwao,1-|.遭..
盘,paran,2//.盘磐..盤
爸,bauya,4/\.爸..
扩,keiyuo,4-|.括扩..鞟
盖,guayai,4\/.盖..
弄,neyong,4--.弄..
雄,xeariong,2-/.雄..
稳,waeven,3/-.稳..穩
忘,wueyang,4\-.望忘妄..
亿,yaiyi,4/|.亿.佚仡佾劓.鶃
刺,ceiyi,4-|.刺..莿
拥,yeiwong,1-|.拥.墉.
徒,taru,2//.徒..
姆,moavu,3~/.姆..
杨,yeirang,2-|.杨扬..輰
齐,queri,2\-.齐旗.麒.齊麡竒
赛,suyai,4\\.赛..
趣,qeiyu,4-|.去趣..
曲,qiowu,1|~.曲蛆.岖蛐黢.
刀,doawao,1~/.刀..
床,chueruang,2\-.床..
迎,yaoring,2/~.迎..
冰,buewing,1\-.冰..
虚,xiewu,1|-.虚..虛虗
玩,weran,2--.玩顽..
析,xeiwi,1-|.西析昔熙.熹皙醯樨菥.
窗,chuwuang,1\\.窗..
醒,xeiving,3-|.醒.擤.
妻,qeowi,1-~.七妻..郪鶈
透,taeyou,4/-.透..
购,gioyou,4|~.购..購
替,teyi,4--.替..
塞,suwai,1\\.塞..
努,noavu,3~/.努.弩胬.
休,xaiwiu,1/|.修休.鸺.鵂
虎,hievu,3|-.虎..虝
扬,yeirang,2-|.杨扬..輰
途,tauru,2/\.途..鍎
侵,qaiwin,1/|.侵..
刑,xering,2--.形型刑邢..
绿,lyoyu,4~~.绿..綠繂
兄,xiowiong,1|~.兄..
迅,xoeyun,4~-.迅.巽.
套,teayao,4-/.套..
贸,maoyao,4/~.贸..貿鄮
毕,beoyi,4-~.毕毙毖..
唯,wiorei,2|~.围唯.帷嵬帏.
谷,gauvu,3/\.谷..
轮,leorun,2-~.轮..
库,kueyu,4\-.库..
迹,jueyi,4\-.迹剂..計記訐
尤,yearou,2-/.尤..
竞,jueying,4\-.竟竞净靖痉..競竸
街,jawie,1//.街..
促,caiyu,4/|.促..
延,yairan,2/|.延..
震,zheuyen,4-\.震..
弃,queyi,4\-.弃..
甲,jiovia,3|~.甲.岬.
伟,waivei,3/|.伟伪..
麻,muera,2\-.麻..
川,chaiwuan,1/|.川..
申,shiowen,1|~.申呻..
缓,hovuan,3~~.缓..緩
潜,qurian,2\\.潜..
闪,shuivan,3\|.闪..
售,shaiyou,4/|.售..
灯,duaweng,1\/.灯..
针,zhaewen,1/-.针.箴.
哲,zheire,2-|.哲折蛰.摺.謺輒
络,loyuo,4~~.络骆..絡
抵,deivi,3-|.抵.柢.菧聜軧
朱,zhaewu,1/-.朱.铢邾.鼄秼
埃,eiwai,1-|.埃挨..
抱,beiyao,4-|.报抱..菢
鼓,geivu,3-|.古鼓贾.嘏瞽.盬糓
植,zheiri,2-|.直职执植.摭絷埴.職
纯,chorun,2~~.纯..純
夏,xeayia,4-/.夏..
忍,roaven,3~/.忍..
页,yeaye,4-/.页.靥.頁
杰,jeirie,2-|.节杰截捷劫桔.颉拮.蓵
筑,zhaeyu,4/-.筑铸.箸.築
折,zheire,2-|.哲折蛰.摺.謺輒
郑,zhuayeng,4\/.郑..
贝,bioyei,4|~.贝..貝骳
尊,zuawun,1\/.尊遵..鷷
吴,wioru,2|~.吴.蜈.
秀,xaeyiu,4/-.秀锈..
混,huyun,4\\.混.溷.
臣,cheiren,2-|.臣..蔯茞
雅,yeova,3-~.雅..
振,zheiyen,4-|.振.圳.
染,ruvan,3\\.染..
盛,cheareng,2-/.成盛..郕碀
怒,noayu,4~/.怒..
舞,waevu,3/-.午舞.迕牾.
圆,yioruan,2|~.员园圆.螈.
搞,geivao,3-|.搞.槁藁.菒藳
狂,kaoruang,2/~.狂..鵟
措,ceiyuo,4-|.措挫..
姓,xoaying,4~/.姓..
残,cearan,2-/.残..
秋,qaewiu,1/-.秋..鹙穐龝
培,peirei,2-|.培..
迷,muari,2\/.迷..麊
诚,chuoreng,2\~.诚.裎.
宽,kuwuan,1\\.宽..
宇,yuvu,3\\.宇.窳.
猛,maoveng,3/~.猛..
摆,beivai,3-|.摆柏.捭.
梅,meirei,2-|.梅枚酶.楣莓.蘪
毁,haivui,3/|.毁..
伸,shaiwen,1/|.身伸..
摩,muero,2\-.摩魔磨..謨
盟,mioreng,2|~.盟.虻.鄳矒
末,meyo,4--.末.耱.
乃,noavai,3~/.乃奶..
悲,biewei,1|-.悲..
拍,peiwai,1-|.拍..
丁,deiwing,1-|.丁.耵.
赵,zheiyao,4-|.赵.棹.趙
硬,yeaying,4-/.硬..
麦,meyai,4--.麦..
蒋,jeiviang,3-|.蒋..蔣
操,ceiwao,1-|.操..
耶,yeire,2-|.耶.揶.
阻,zoivu,3~|.阻..
订,duoying,4\~.订..
彩,cauvai,3/\.采彩..
抽,cheiwou,1-|.抽..
赞,zaeyan,4/-.赞..酂酇贊
魔,muero,2\-.摩魔磨..謨
纷,fowen,1~~.纷..紛
沿,yuran,2\\.沿..
喊,hiovan,3|~.喊..
违,werei,2--.违韦..
妹,moayei,4~/.妹媚..
浪,luyang,4\\.浪..
汇,huyui,4\\.汇.浍.
币,baiyi,4/|.币..
丰,feweng,1--.丰..
蓝,leiran,2-|.蓝拦栏婪..蘭葻藍
殊,sheawu,1-/.殊..
献,xeiyian,4-|.献.苋.軐
桌,zhiewuo,1|-.桌..
啦,lioha,5|~.啦..
瓦,weova,3-~.瓦..
莱,leirai,2-|.莱..萊鶆
援,yeiruan,2-|.援袁垣.芫塬橼.薗
译,yuoyi,4\~.议译谊诣..袣褹
夺,dearuo,2-/.夺..
汽,quyi,4\\.汽泣.汔.
烧,shuawao,1\/.烧..
距,jioyu,4|~.具距踞.瞿.
裁,ceirai,2-|.才材裁..
偏,paiwian,1/|.偏..
符,faeru,2/-.符氟..
勇,youvong,3~\.勇恿.甬.
触,chaoyu,4/~.处触..觸臅
课,kuoye,4\~.课..袔
敬,jeiying,4-|.境敬..
哭,kiowu,1|~.哭.骷.跍
懂,duvong,3\\.懂..
墙,qeiriang,2-|.墙蔷.樯.薔
袭,xeari,2-/.袭..
召,zhoayao,4~/.召..
罚,fiora,2|~.罚..罰
侠,xairia,2/|.侠..
厅,teawing,1-/.厅..
拜,baeyai,4/-.拜稗..
巧,qeiviao,3-|.巧..
侧,caiye,4/|.侧..
韩,heiran,2-|.韩邯..韓
冒,mioyao,4|~.冒帽..
债,zhaiyai,4/|.债..
曼,mioyan,4|~.曼.幔.
融,reirong,2-|.荣融蓉茸.榕.駥
惯,guyuan,4\\.惯灌.涫.
享,xueviang,3\-.享..
戴,deiyai,4-|.带戴.埭.
童,tuerong,2\-.童..
犹,yaorou,2/~.犹.鱿.鲉鮋
乘,chaereng,2/-.程乘.铖.
挂,geiyua,4-|.挂.卦.
奖,jueviang,3\-.奖桨..講
绍,shoyao,4~~.绍..紹
厚,heayou,4-/.厚..
纵,zoyong,4~~.纵..縱
障,zhoiyang,4~|.障..
讯,xuoyun,4\~.训讯..
涉,shuye,4\\.涉慑.滠.
彻,chaye,4//.彻..
刊,kewan,1--.刊..
丈,zheayang,4-/.丈..
爆,buayao,4\/.爆..
乌,waowu,1/~.乌.邬.鰞
役,yayi,4//.役..
描,meiriao,2-|.描苗.鹋.鶓
洗,xuvi,3\\.洗..
玛,meva,3--.玛..
患,hioyuan,4|~.患唤..瞣
妙,moayiao,4~/.妙..
镜,jaeying,4/-.镜..
唱,chioyang,4|~.唱畅..
烦,fuaran,2\/.烦.燔.
签,qaewian,1/-.千签迁铅钎..籤箞簽
仙,xaiwian,1/|.仙..
彼,bavi,3//.彼.舭.
弗,foeru,2~-.弗.艴.
症,zhueyeng,4\-.症..證証
仿,faivang,3/|.仿..
倾,qaiwing,1/|.倾..
牌,pairai,2/|.牌.俳.
陷,xoiyian,4~|.限陷..
鸟,naoviao,3/~.鸟.袅.
轰,heowong,1-~.轰..
咱,zioran,2|~.咱..
菜,ceiyai,4-|.菜蔡..
闭,buiyi,4\|.闭..
奋,feayen,4-/.奋..
庆,queying,4\-.庆..
撤,cheiye,4-|.撤.坼.
泪,luyei,4\\.泪..
茶,cheira,2-|.查茶茬搽.楂槎檫.
疾,jueri,2\-.疾脊.瘠.鹡鶺
缘,yoruan,2~~.缘..緣縁
播,beiwo,1-|.播拨菠..
朗,luovang,3\~.朗..
杜,deiyu,4-|.杜.蠹芏.
奶,noavai,3~/.乃奶..
季,jaeyi,4/-.季.稷.穊穄
丹,daowan,1/~.丹..
狗,gaovou,3/~.狗..
尾,woevei,3~-.尾..
仪,yairi,2/|.仪..
偷,taiwou,1/|.偷..
奔,beawen,1-/.奔..
珠,zhewu,1--.珠..
虫,chiorong,2|~.虫崇..蟲
驻,zhoyu,4~~.驻..纻紵
孔,koivong,3~|.孔..
宜,yuri,2\\.宜沂.怡.
艾,eiyai,4-|.艾..鴱薆
桥,qeiriao,2-|.桥.樵荞鞒.菬藮
淡,duyan,4\\.淡惮.澹.
翼,youyi,4~\.翼翌.羿.
恨,huyen,4\\.恨..
繁,faeran,2/-.繁钒..緐笲
寒,huran,2\\.寒涵..
伴,baiyan,4/|.伴..
叹,tioyan,4|~.叹炭..
旦,dioyan,4|~.旦.啖.贉
愈,yauyu,4/\.欲愈.鹆.鋊鈺鐍錥
潮,churao,2\\.潮..
粮,luariang,2\/.粮..糧
缩,sowuo,1~~.缩..縮
罢,bioya,4|~.罢..罷跁
聚,jeiyu,4-|.据聚拒.苣醵.
径,jaying,4//.径..
恰,quyia,4\\.恰洽..
挑,teiwiao,1-|.挑..
袋,daiyai,4/|.代袋贷.黛岱.貸
灰,heawui,1-/.灰.虺.豗
捕,beivu,3-|.捕..
徐,xaru,2//.徐..
珍,zhewen,1--.珍..
幕,meiyu,4-|.木幕墓慕募暮.苜.
映,yioying,4|~.映..
裂,leayie,4-/.列烈裂..
泰,teyai,4--.泰..
隔,goire,2~|.隔..
启,quovi,3\~.启.綮.
尖,jiawian,1|/.尖..
忠,zhiowong,1|~.中忠盅..蹱
累,lioyei,4|~.累..纍
炎,yuaran,2\/.炎..
暂,zeoyan,4-~.暂.錾.
估,gaiwu,1/|.估..
泛,fuyan,4\\.泛..盕
荒,heiwuang,1-|.荒..
偿,chairang,2/|.偿..
横,heireng,2-|.横.桁蘅.
拒,jeiyu,4-|.据聚拒.苣醵.
瑞,reyui,4--.瑞..
忆,yuyi,4\\.忆溢.悒怿.
孤,goiwu,1~|.孤..
鼻,bairi,2/|.鼻..
闹,nuiyao,4\|.闹..
羊,yuarang,2\/.羊.炀烊.鴹
呆,diowai,1|~.呆..
厉,leayi,4-/.历厉励砾.砺.磿
衡,hareng,2//.衡..鸻鴴
胞,baowao,1/~.包胞..
零,leuring,2-\.零.酃.靈霝
穷,quriong,2\\.穷.穹.窮
舍,shauye,4/\.舍.歙.
码,meava,3-/.码..碼
赫,heiye,4-|.赫..
婆,puro,2\\.婆..
魂,herun,2--.魂..
灾,zuwai,1\\.灾..
洪,hurong,2\\.洪宏鸿.泓黉.鴻
腿,taovui,3/~.腿..脮
胆,daovan,3/~.胆..膽
津,juwin,1\\.津..
俗,sairu,2/|.俗..
辩,bueyian,4\-.变辩辨辫卞..變辯
胸,xaowiong,1/~.胸匈..
晓,xioviao,3|~.晓..
劲,jouyin,4~\.劲..
贫,paurin,2/\.贫..貧
仁,rairen,2/|.仁..鵀
偶,aivou,3/|.偶..
辑,jeori,2-~.辑..
邦,bewang,1--.帮邦..邫
恢,huwui,1\\.恢..
赖,leiyai,4-|.赖..賴賚鵣
圈,qiowuan,1|~.圈..
摸,meiwo,1-|.摸..
仰,yaivang,3/|.仰..
润,ruyun,4\\.润..
堆,deiwui,1-|.堆..
碰,peayeng,4-/.碰..
艇,taving,3//.艇..
稍,shaewao,1/-.稍.筲.
迟,choeri,2~-.迟弛..遲
辆,leoyiang,4-~.辆..
废,fueyei,4\-.废.痱.
净,jueying,4\-.竟竞净靖痉..競竸
凶,xauwiong,1/\.凶..
署,shiovu,3|~.署蜀暑曙..
壁,boeyi,4~-.避壁臂辟.璧弼嬖襞.鸊躄鼊繴
御,yayu,4//.御..禦衘
奉,feyeng,4--.奉..
旋,xueruan,2\-.旋玄.痃.
冬,daowong,1/~.冬..
矿,keayuang,4-/.矿..礦
抬,teirai,2-|.抬.薹.臺菭
蛋,doiyan,4~|.蛋..
晨,chioren,2|~.晨..
伏,fairu,2/|.伏俘..
吹,chiowui,1|~.吹..
鸡,jouwi,1~\.鸡..
倍,baiyei,4/|.倍..
糊,huaru,2\/.糊.煳.
秦,qerin,2--.秦琴..
盾,dayun,4//.盾遁..
杯,beiwei,1-|.杯..藣
租,zaewu,1/-.租..
骑,qori,2~~.骑.骐.纃
乏,faura,2/\.乏..
隆,loirong,2~|.隆..
诊,zhuoven,3\~.诊..袗
奴,noaru,2~/.奴.驽孥.砮
摄,sheiye,4-|.摄赦..蔎騇
丧,seiyang,4-|.丧..
污,wuwu,1\\.污..
渡,duyu,4\\.渡..
旗,queri,2\-.齐旗.麒.齊麡竒
甘,geiwan,1-|.甘杆柑.苷酐坩.
耐,neayai,4-/.耐奈..
凭,pairing,2/|.凭..
扎,zheiwa,1-|.扎.揸.
抢,qeiviang,3-|.抢..
绪,xoyu,4~~.续绪..續緒
粗,cuawu,1\/.粗..
肩,juowian,1\~.肩..鵳
梁,luriang,2\\.梁粱..
幻,hoyuan,4~~.幻..
菲,feivei,3-|.菲匪.榧.蕜
皆,jeowie,1-~.皆..
碎,seayui,4-/.碎..
宙,zhuyou,4\\.宙..
叔,shiewu,1|-.叔..
岩,yioran,2|~.岩蜒..閻
荡,deiyang,4-|.荡档.菪.趤
综,zowong,1~~.综..綜緵骔
爬,para,2//.爬..
荷,heire,2-|.核荷菏.盍翮.鞨麧覈
悉,xauwi,1/\.希悉.兮奚翕欷.錫豀鏭鑴翖
蒂,deiyi,4-|.地蒂.棣.菂
返,favan,3//.反返..
井,jeving,3--.井..
壮,zhueyuang,4\-.状壮..
薄,beirao,2-|.薄..
悄,quwiao,1\\.悄..
扫,seivao,3-|.扫..
敏,maevin,3/-.敏.鳘.簢鰵
碍,eayai,4-/.碍.砹.礙
殖,zheari,2-/.殖..
详,xuoriang,2\~.详祥..
迪,diori,2|~.迪..踧
矛,mourao,2~\.矛.蟊蝥.
霍,heuyuo,4-\.霍..靃
允,youvun,3~\.允..
幅,fioru,2|~.幅.蝠蚨罘蜉幞.
撒,seiwa,1-|.撒..
剩,shaeyeng,4/-.剩..
凯,kiovai,3|~.凯.剀.
颗,kiowe,1|~.颗.瞌蝌嗑髁.顆趷
骂,mioya,4|~.骂.唛.罵駡
赏,shiuvang,3|\.赏..賞
液,yuye,4\\.液..
番,fauwan,1/\.翻番..
箱,xaewiang,1/-.香箱镶..
贴,tiowie,1|~.贴帖..貼
漫,muyan,4\\.慢漫..
酸,seiwuan,1-|.酸..
郎,luorang,2\~.郎..郞
腰,yaowao,1/~.腰..
舒,shauwu,1/\.舒.毹.鵨
眉,moirei,2~|.眉.鹛.郿
忧,yuwou,1\\.忧..
浮,furu,2\\.浮涪..
辛,xuewin,1\-.新辛.歆.
恋,lueyian,4\-.恋..
餐,ciewan,1|-.餐..
吓,xioyia,4|~.吓..
挺,teiving,3-|.挺.梃.
励,leayi,4-/.历厉励砾.砺.磿
辞,caeri,2/-.辞..
艘,sawou,1//.艘..
键,jaeyian,4/-.键箭.毽.
伍,waivu,3/|.伍侮.仵.
峰,fioweng,1|~.峰蜂..鄷盽豊
尺,choevi,3~-.尺..
昨,zioruo,2|~.昨..
黎,laeri,2/-.黎梨篱犁.黧.鋫邌鯬筣籬
辈,bieyei,4|-.背辈.邶.輩
贯,goyuan,4~~.贯..貫
侦,zhaiwen,1/|.侦..
滑,hurua,2\\.滑豁..
券,quayuan,4\/.券..
崇,chiorong,2|~.虫崇..蟲
扰,reivao,3-|.扰..遶
宪,xuyian,4\\.宪..
绕,royao,4~~.绕..繞
趋,qeiwu,1-|.趋.麴.趨驅麯
慈,cuari,2\/.慈.鹚糍.
乔,qaeriao,2/-.乔..
阅,yuiyue,4\|.阅..
汗,huyan,4\\.汉汗憾悍.瀚.
枝,zheiwi,1-|.支枝芝.栀.鳷
拖,teiwuo,1-|.托拖..
墨,mioyo,4|~.默墨..瞐眜
胁,xaorie,2/~.胁..
插,cheiwa,1-|.插.杈.
箭,jaeyian,4/-.键箭.毽.
腊,laoya,4/~.腊..鱲臘臈
粉,fuaven,3\/.粉..
泥,nuri,2\\.泥.怩.
氏,shaoyi,4/~.氏饰..
彭,peireng,2-|.彭蓬棚.堋.芃髼鬅
拔,beira,2-|.拔.菝茇.軷
骗,poyian,4~~.骗..
凤,faoyeng,4/~.凤..鳳
慧,heyui,4--.慧.彗.
媒,moarei,2~/.媒..
佩,paiyei,4/|.佩..
愤,fuyen,4\\.愤..
扑,peiwu,1-|.扑..
龄,liering,2|-.龄..齡齢
驱,qowu,1~~.驱..
惜,xuwi,1\\.惜溪汐.淅浠穸.窸鸂
豪,huerao,2\-.毫豪..
掩,yeivan,3-|.掩.郾.菴酀鶠
兼,juawian,1\/.兼煎.鹣.
跃,yioyue,4|~.跃..閱躍躒
尸,shoewi,1~-.尸..蝨
肃,soeyu,4~-.肃..肅鷫粛
帕,pioya,4|~.帕..
驶,shovi,3~~.驶..
堡,baivao,3/|.保堡..賲
届,joeyie,4~-.届..
欣,xawin,1//.欣..
惠,heiyui,4-|.惠卉.恚荟蕙.
册,caoye,4/~.册..
储,chaivu,3/|.储..
飘,peiwiao,1-|.飘.剽.
桑,souwang,1~\.桑..
闲,xuirian,2\|.闲.鹇.
惨,cuvan,3\\.惨..
洁,jurie,2\\.洁..
踪,ziowong,1|~.踪..蹤踨
勃,beiro,2-|.博勃搏.鹁.茀駮豰
宾,buwin,1\\.宾滨濒..賓
频,pierin,2|-.频.颦.頻
仇,chairou,2/|.仇.俦雠.雔
磨,muero,2\-.摩魔磨..謨
递,duayi,4\/.弟递..
邪,xeorie,2-~.邪..
撞,zheiyuang,4-|.撞..
拟,neivi,3-|.拟..薿
滚,guvun,3\\.滚..
奏,zeyou,4--.奏..
巡,xorun,2~~.巡驯..紃
颜,yueran,2\-.言颜..顏麣訮
剂,jueyi,4\-.迹剂..計記訐
绩,joyi,4~~.纪继绩.骥.繼紀
贡,geiyong,4-|.共贡..貢
疯,fueweng,1\-.疯..
坡,peiwo,1-|.坡..酦醱
瞧,qioriao,2|~.瞧..睄
截,jeirie,2-|.节杰截捷劫桔.颉拮.蓵
燃,ruaran,2\/.燃..
焦,jaiwiao,1/|.焦.鹪僬.鷦
殿,doeyian,4~-.殿..
伪,waivei,3/|.伟伪..
柳,leiviu,3-|.柳..
锁,saevuo,3/-.锁..
逼,beiwi,1-|.逼..
颇,poawo,1~/.颇..頗
昏,haowun,1/~.昏..
劝,qouyuan,4~\.劝..
呈,chioreng,2|~.呈..
搜,seiwou,1-|.搜..蒐蓃
勤,qeirin,2-|.勤擒芹.芩檎.菦
戒,jeyie,4--.戒..
驾,joayia,4~/.架驾嫁..駕
漂,puwiao,1\\.漂..
饮,yaovin,3/~.饮..
